,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,25,10,200,100.0,0.0,0.9048082950653422,67722049.79697247,38278166.66666728,8660532.35576899,0.9959987490592722,0.22916980825484562,32.70249442090397,0.5450415736817329,1.6331857153509515
1,30,8,200,100.0,0.0,0.8090606625487794,86740967.84512615,52790100.000000484,8693800.510066558,0.9998247309623153,0.16563617744529796,25.42934138748933,0.42382235645815547,1.3653919609631733
2,30,10,200,100.0,0.0,0.9149943674397474,80279325.77439746,47878050.000000514,8671104.184674008,0.9972145551935977,0.18444361378318339,27.69631191108856,0.4616051985181427,1.5241544569844367
3,30,10,300,100.0,0.0,0.8886846033857102,91443018.49039033,49599550.00000046,13022208.975300102,0.9984069736581201,0.2675296131275724,36.383196872059685,0.6063866145343282,1.7090949084220963
4,30,10,400,100.0,0.0,0.9070139608748157,97401993.29564708,47308616.66666731,17390649.062459007,1.0,0.3711993126649227,45.28563142128566,0.7547605236880944,1.9587339346948482
5,30,10,500,100.0,0.0,0.9207896006548044,109712410.53518243,49925516.666667245,21730690.95583881,0.9996494496688374,0.4371442983794017,50.132614679597545,0.8355435779932924,2.106048617351618
6,30,10,600,100.0,0.0,0.8809158064344651,117887258.0604629,50505216.66666719,25350876.082866754,0.971820200301068,0.5071948513452441,56.29606470436909,0.9143704946852461,2.2010421821959065
7,30,10,700,100.0,0.0,0.8888089487759634,120903507.45103058,47815166.6666672,28537530.3974436,0.9376970444600994,0.6031785807153341,64.86960636844518,0.8990750050541285,2.2704268184023593
8,30,10,800,100.0,0.0,0.9151157244317994,126539973.33317058,48543000.00000055,30824458.434928577,0.8862365724310134,0.636830424705293,70.76022293746665,0.8461103634249965,2.2706904276210302
9,30,10,900,100.0,0.0,0.8798566069748063,129307931.53628635,47656950.00000075,32740095.088474404,0.8367228457313123,0.6895100174506049,76.918544071328,0.7582893279069702,2.1897539488422604
10,35,4,200,100.0,0.0,0.8915773292940015,91898892.8817869,56738549.99999978,8695304.985418694,0.9999977521470601,0.15378299142039414,23.96880300739473,0.39948005012324544,1.4140837725535624
11,35,4,300,100.0,0.0,0.8721200921801315,100284370.51339856,56338149.999999896,13042986.796844332,1.000000000000005,0.234020776827737,33.052748628633424,0.5508791438105571,1.6102158574528782
12,35,4,400,100.0,0.0,0.8701401582762311,106154560.92897853,54011833.33333371,17390649.062459003,0.9999999999999998,0.3247136881684175,41.548107801240334,0.6924684633540055,1.8223795721649707
13,35,4,500,100.0,0.0,0.8720175429775129,116863554.07948177,55396549.99999998,21734501.27516625,0.9998247309623075,0.394210030439589,47.077367822899944,0.7846227970483324,1.9720083643775166
14,35,4,600,100.0,0.0,0.8781169826694775,126263959.64775626,55770916.66666661,26083687.56194382,0.9999123654811465,0.47219613322668774,52.35816653161883,0.8726361088603138,2.1285099981111415
15,35,4,700,100.0,0.0,0.8820223669780924,136537778.0729437,57052233.333333254,30281061.333793968,0.9949866481213521,0.5329082639067545,56.37324254941016,0.9395540424901693,2.2479030205936654
16,35,4,800,100.0,0.0,0.8765201092676784,141619229.8293017,55317350.00000002,33866815.06229147,0.9737076212813521,0.6151397076374031,62.146801589440926,0.9543097822431955,2.322941657620796
