self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
20,10,400,50.0,0.0,0.942721433035685,71664188.69576272,30093433.333333395,15800389.505008545,0.9085566299602158,0.5285703058612375,62.90775916820989,0.8745079910732694,2.240085668797944
20,10,500,50.0,0.0,0.9496187494773548,74536679.66468278,27661883.33333335,18752119.748503,0.862630011388498,0.6801834677019013,74.30589799895927,0.7929812559961784,2.2867467796350542
20,10,600,50.0,0.0,0.9485370971212786,77452256.0082628,27376250.000000052,20357104.363882743,0.7803850713399527,0.7451489072207351,86.2998119975929,0.6543060085578383,2.198962231455705
20,10,700,50.0,0.0,0.9569852140903026,83888166.16961667,29423166.666666787,22193432.81419361,0.7292402694438256,0.7541222573650342,92.6964415118393,0.5878101944832868,2.1480932144656166
20,10,800,50.0,0.0,0.9399561448457432,85209109.20941557,28773983.333333418,23251888.877215706,0.6685169942106786,0.8070913850776069,104.58461904894584,0.486017388971844,2.071646641879673
20,10,900,50.0,0.0,0.9543811778926936,88031996.51396933,29328016.666666795,24276447.086693622,0.6204214690193323,0.8281059297014292,113.74871770016512,0.4177292015361713,2.0345951231900083
25,2,200,50.0,0.0,0.9695435885023826,60467653.87020874,32748100.000000335,8644852.092178589,0.994195450800066,0.2673663181280163,36.59270231271304,0.6098783718785508,1.7933150148833463
25,2,300,50.0,0.0,0.95720133959573,68815736.85661101,32387483.333333623,12948926.447019588,0.992788434789535,0.4036281987947618,48.117230494730755,0.8019538415788461,2.0820577402103857
25,2,400,50.0,0.0,0.9733604315885354,72101165.2637843,28584050.00000002,16976604.504856464,0.9761915408610978,0.598114915982733,61.406730489762616,0.9412851435872532,2.393137507961975
25,2,500,50.0,0.0,0.9606970691874034,85960231.89142035,32384550.000000287,21318046.001994006,0.980667066556498,0.669032480914467,64.25466241821525,0.9171234029430856,2.4130464568620624
25,2,600,50.0,0.0,0.970678879963754,91300413.49649252,32448166.666667014,23883735.723031174,0.9155777006847016,0.7396627311425501,72.84951773176469,0.8127794592085253,2.37518852408632
