,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,40,2,200,50.0,0.0,1.0,62154989.44064243,33970016.66666712,8692198.311684042,0.9996404712056192,0.2574734801982121,35.47279637528064,0.591213272921344,1.7971920570799136
1,40,2,613,50.0,0.0,1.0,100251554.55428179,35773833.333333924,26135234.205765035,0.9806411692811559,0.7396014765798714,67.68773598468985,0.8840268601404653,2.4757080414043626
2,40,2,686,50.0,0.0,1.0,104174261.0700078,35117316.66666721,28468136.734995462,0.9545070214955038,0.813098106374634,72.46647433665217,0.8135923248142225,2.4640708099139297
3,40,2,817,50.0,0.0,1.0,101722910.76324277,32740033.333333742,28787015.078855313,0.8104361016032158,0.8831823157229352,89.01006222159238,0.6226717849378414,2.3292176375161895
4,40,2,819,50.0,0.0,1.0,105313704.55646344,33790716.66666712,29869787.826482117,0.8388656979091522,0.8874355890279387,85.70850894383226,0.653841769692918,2.363790240915269
5,40,3,488,50.0,0.0,1.0,86220454.21086481,33297183.33333369,20866031.939578675,0.9834770862824094,0.6306733021937357,62.442378699800315,0.9554557662294387,2.4599944079844276
6,40,5,900,50.0,0.0,1.0,98606950.94308957,31721250.000000276,27915649.150685728,0.7134268038830872,0.8837265467214769,101.39658781362441,0.5099382892309169,2.2169195266080988
7,40,6,263,50.0,0.0,1.0,70603702.46377644,36172950.000000454,11411418.462880094,0.9979943510422853,0.31819819685711426,41.08352807473163,0.6847254679121939,1.9392840253978854
8,40,6,400,50.0,0.0,1.0,80923791.23470567,34887416.66666706,17267443.501563776,0.9929154133090299,0.5005966411488488,54.53802638229398,0.9082966697117574,2.3087739826308367
9,40,6,792,50.0,0.0,1.0,103607246.7798169,35337683.33333385,28050951.202122074,0.8146416514356135,0.7942860159400074,84.4206723590441,0.6692430991785021,2.304671911930508
10,40,10,900,50.0,0.0,1.0,102328576.97873053,33865241.66666707,28365416.314655453,0.7249212867285488,0.8431650779852516,97.76242631002928,0.541531107867667,2.216063170255868
11,41,2,730,50.0,0.0,1.0,96149647.34846708,31645350.000000305,26764935.862273846,0.8433105761622606,0.8509696895252461,85.22133792677633,0.6718041021117979,2.352579853731995
12,41,5,200,50.0,0.0,1.0,62750766.54273007,34444666.66666706,8680607.715663819,0.9983075024384853,0.25279801175491046,35.07962940688691,0.5846604901147818,1.7868988995187103
13,43,4,330,50.0,0.0,1.0,75123397.0872695,35058650.00000042,14327997.488499114,0.9986556350285818,0.4162258571227497,48.579800022833936,0.809663333713899,2.1426440194120984
14,43,7,200,50.0,0.0,1.0,59880404.579724036,32225783.33333362,8694386.633995175,0.9998921377539206,0.2723544426194064,36.8738125287244,0.6145635421454065,1.8324470962409318
15,43,8,230,50.0,0.0,1.0,64592760.3779704,33801533.33333368,9989860.669254467,0.999023709048475,0.30037134775401053,39.417601971143306,0.6569600328523884,1.897257111055597
16,45,10,200,50.0,0.0,1.0,63883112.31002395,35356200.00000041,8652960.034173984,0.9951278992631767,0.24701186600707575,34.59291215433001,0.5765485359055001,1.7741580287111607
