,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,20,6,600,200.0,0.0,0.6840521018633664,109795166.06136283,44238333.33333413,25394209.888413597,0.9734813921055909,0.5764720178182323,60.238529483142806,0.9516174818583323,2.0968471979762846
1,20,8,500,200.0,0.0,0.8869258525454098,98970453.64015327,42028250.00000076,21519957.28330095,0.9899553354684529,0.5166947355124268,55.70677481623293,0.9155949943683298,2.215876635323681
2,20,8,600,200.0,0.0,0.8178654178518819,105311215.9698454,41701183.33333407,24822988.711489704,0.9515837552444506,0.5975021036666022,62.900251376291706,0.936534627964565,2.232401728749729
3,20,8,700,200.0,0.0,0.840479824587924,105697093.10619633,39943566.666667335,26131590.22589578,0.8586417458204417,0.6560453231872633,73.69910370950883,0.8040322830589917,2.1693483661967266
4,20,10,600,200.0,0.0,0.847133890447418,101709448.3491415,41065566.66666736,23470303.375210017,0.8997288635180031,0.5735850168758023,65.55620580781745,0.9091207240313514,2.215122627979411
5,25,8,600,200.0,0.0,0.547594347247349,120673093.86941147,51609983.33333385,26005428.161416538,0.9969123087554042,0.5074362787652081,54.73834002536417,0.9123056670894026,1.865849037348918
