self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
20,4,500,200.0,0.0,0.5085683344163673,102062113.578032,44107983.33333408,21703231.175221626,0.9983862521645436,0.4991275513033266,54.0640847065756,0.9010680784429268,1.8089384539019555
20,4,600,200.0,0.0,0.4002939380853197,113157263.35004392,45867250.00000086,25996812.19295929,0.9965820175195296,0.5710797310908691,58.38596810836755,0.9589676090577268,1.8161253320157416
20,4,700,200.0,0.0,0.486915150444365,119633544.55224094,45820316.66666758,29187430.121475954,0.9590516971554556,0.6411125450841197,64.56709410967217,0.9217537011589052,1.921558887670566
20,4,800,200.0,0.0,0.4547886639153032,125994743.49955828,45544766.66666768,32467599.593080472,0.9334786607582088,0.7153360482000997,70.28801552981142,0.8473523188367895,1.8744098213121727
20,4,900,200.0,0.0,0.4895438412977347,124348253.04556575,44096433.33333425,32587186.161816977,0.8328150259187928,0.7401139662395203,80.23726983777034,0.7196135881396897,1.8012486024290406
20,6,200,200.0,0.0,0.5029905107011954,74775761.60048482,43625450.000001,8693878.591418173,0.999833710656096,0.1999120822097833,29.445555183176555,0.4907592530529426,1.1536794295219646
20,6,300,200.0,0.0,0.5214894301267762,85130136.3373014,44733333.33333416,13041110.950365622,0.9998561796843116,0.294131678626817,38.87212295656179,0.6478687159426963,1.4046634889709264
20,6,400,200.0,0.0,0.5438739080757827,93641612.41925555,44431933.33333426,17387184.392021663,0.9998007739432324,0.3939165691190825,47.04220445188018,0.7840367408646697,1.6430439042357186
20,6,500,200.0,0.0,0.5395888932914497,100898449.75384584,43394816.66666753,21589874.338950273,0.993171641215212,0.5049637081781151,54.74445171352586,0.8930955131442732,1.836655372978215
20,6,600,200.0,0.0,0.4682585775803788,109515084.21779115,43531766.66666762,25707872.271573428,0.9855055698512788,0.5923406218819067,60.25939044973059,0.9670552089790254,1.9091862840649296
20,6,700,200.0,0.0,0.5295229470806296,113736627.70328464,43321483.333334126,27902198.04942978,0.9168210521550392,0.6497983224667212,68.27964835044756,0.866782784682513,1.9161443897365196
20,6,800,200.0,0.0,0.5872316261702112,124406053.59378198,46545216.66666747,31054579.775717843,0.8928528102713258,0.6694796820326294,71.10517730292023,0.8351109053750714,1.957926277171386
20,6,900,200.0,0.0,0.5829763347987623,126310593.51311348,45052883.33333411,32935266.575456858,0.8417107494485213,0.7356014847667389,79.39094928273452,0.7331266564166149,1.904584179028768
20,8,200,200.0,0.0,0.8518782159314282,72491849.86388502,41909816.66666742,8672748.96561726,0.9974037121292986,0.2094637139794072,30.536263651324436,0.5089377275220739,1.528386914637028
20,8,300,200.0,0.0,0.835692788736031,82241266.3006191,42592916.66666721,12995485.830787782,0.9963581220470163,0.3115483008568976,40.444906356924825,0.6740817726154138,1.759013202036963
20,8,400,200.0,0.0,0.8279964918724392,93868801.415356,44672466.66666724,17344750.259648982,0.9973607193932108,0.3936154552457728,47.057142092861696,0.784285701547695,1.9271745576167525
