int(self),self.cycle,self.current_date,self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.payback_process,100 * self.avg_statisfied_day,self.monthly_revenue,self.monthly_cost,self.monthly_profit,self.monthly_renew_charge / 1000,self.monthly_energy_consumption / 1000,self.self_consumption,self.self_sufficiency
0,287,date ('2024-01-01 23:55:00'),50,20,2,500,0,5427238015.846182,83.24973080013889,90466456.66666667,25904472.51284877,64561984.15381791,14328.43475865533,26964.666666666668,1.000000000000004,0.5313781525943332
0,575,date ('2024-01-02 23:55:00'),50,20,2,500,0,5363043883.179283,82.73971842598439,87292626.6666661,23098493.99976705,64194132.66689906,14751.872783585464,26018.6666666665,1.0000000000000067,0.5669726651475439
0,863,date ('2024-01-03 23:55:00'),50,20,2,500,0,5289574979.308007,89.09624527205018,109909240.83333465,36440336.96205839,73468903.87127627,14981.647082125357,32759.83333333373,1.0000000000000049,0.4573175611025242
0,1151,date ('2024-01-04 23:55:00'),50,20,2,500,0,5223890592.487252,92.5185274206808,97872060.00000033,32187673.179245736,65684386.82075459,13469.296317270666,29172.0000000001,1.0000000000000062,0.46172001636057247
0,1439,date ('2024-01-05 23:55:00'),50,20,2,500,0,5165216903.638433,100.0,82777914.99999912,24104226.151180804,58673688.84881832,12915.365633066285,24672.999999999738,1.0000000000000047,0.5234615017657529
0,1727,date ('2024-01-06 23:55:00'),50,20,2,500,0,5110454804.741233,92.78608333070665,79468766.66666561,24706667.769464664,54762098.89720094,11635.014916480666,23686.66666666635,0.8242394249268317,0.49120524555928036
0,2015,date ('2024-01-07 23:55:00'),50,20,2,500,0,5047771781.803407,92.71385666627832,85576544.1666663,22893521.228840474,62683022.93782582,14340.408298922963,25507.166666666555,1.0411375721753757,0.5622109459010746
0,2303,date ('2024-01-08 23:55:00'),50,20,2,500,0,4975239068.590235,93.53066385869035,114054902.5000014,41522189.28682952,72532713.21317188,13737.15156003105,33995.500000000415,1.0599523215793867,0.4040873515621445
0,2591,date ('2024-01-09 23:55:00'),50,20,2,500,0,4910383688.383086,96.01766497380439,100166320.83333346,35310940.62618483,64855380.20714864,12628.84099909636,29855.833333333372,1.000000000000004,0.4229940882271921
0,2879,date ('2024-01-10 23:55:00'),50,20,2,500,0,4836877551.6139,99.06162922326718,111496155.83333431,37990019.06414871,73506136.7691856,14698.335660900158,33232.83333333362,1.0000000000000047,0.4422835547445557
0,3167,date ('2024-01-11 23:55:00'),50,20,2,500,0,4765077150.630481,99.4309616855024,106231042.50000103,34430641.51658189,71800400.98341914,14866.131438141203,31663.500000000306,1.000000000000003,0.46950373263034906
0,3455,date ('2024-01-12 23:55:00'),50,20,2,500,0,4692896061.16618,100.0,99594293.3333337,27413203.86903237,72181089.46430133,16312.775726842809,29685.333333333445,0.9999999999999989,0.5495230773954394
0,3743,date ('2024-01-13 23:55:00'),50,20,2,500,0,4623881136.724309,88.85250740710399,93154370.8333335,24139446.391462803,69014924.4418707,15991.009976510855,27765.833333333387,0.9330667798523468,0.5759240064771748
0,4031,date ('2024-01-14 23:55:00'),50,20,2,500,0,4534503034.190318,95.81285172161486,114774550.00000176,25396447.466010485,89378102.53399128,21821.706133393145,34210.00000000053,1.0402081521256585,0.637875069669477
0,4319,date ('2024-01-15 23:55:00'),50,20,2,500,0,4464727429.34718,91.75201945502283,114614628.33333449,44839023.490197174,69775604.84313732,12285.227351457203,34162.33333333368,1.0129830641828412,0.35961323928275035
0,4607,date ('2024-01-16 23:55:00'),50,20,2,500,0,4402846693.871084,100.0,100904420.83333386,39023685.35723756,61880735.4760963,11036.862116200786,30075.833333333492,0.9999999999999999,0.36696779084649567
0,4895,date ('2024-01-17 23:55:00'),50,20,2,500,0,4341313091.595527,90.67613285750322,104188965.83333415,42655363.55777678,61533602.27555737,10243.447181823356,31054.833333333576,1.000000000000002,0.3298503351112262
0,5183,date ('2024-01-18 23:55:00'),50,20,2,500,0,4274605230.70333,100.0,85638052.49999942,18930191.607802615,66707860.892196804,16293.016703528929,25525.499999999825,0.9571458970221466,0.6383035279829599
0,5471,date ('2024-01-19 23:55:00'),50,20,2,500,0,4206177061.5371733,100.0,90085104.99999972,21656935.833842933,68428169.16615678,16287.748413611771,26850.999999999916,1.0000000000000009,0.6065974605642926
0,5759,date ('2024-01-20 23:55:00'),50,20,2,500,0,4147584741.8312063,98.84976214182973,82291999.16666588,23699679.460698728,58592319.70596716,12967.968459070213,24528.16666666643,0.8938669321508256,0.5286970133276846
0,6047,date ('2024-01-21 23:55:00'),50,20,2,500,0,4071944575.228317,100.0,99889533.33333376,24249366.730444063,75640166.60288969,17944.864130253427,29773.333333333467,1.0427780650672287,0.6027159918356475
0,6335,date ('2024-01-22 23:55:00'),50,20,2,500,0,4003197067.5612946,85.93681151872585,92157935.8333335,23410428.16631106,68747507.66702245,16049.802180098817,27468.833333333387,0.8865081854904165,0.5842913670680875
