int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.policy_ban_gasoline,self.policy_idle_fee,self.policy_relocation,self.policy_notification,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
31,50,20,4,100,0,True,True,False,False,1.0,37666790.33333355,28851166.66666683,0.0,0.0,0.0,29.19813422559454,0.4866355704265757,1.4866355704265757
32,50,20,4,100,0,True,True,False,False,1.0,43963887.000000276,33672833.33333355,0.0,0.0,0.0,25.015986416305573,0.4169331069384262,1.4169331069384263
33,50,20,4,100,0,True,True,False,False,1.0,47244123.66666721,36184500.0000004,0.0,0.0,0.0,23.279085622577796,0.3879847603762966,1.3879847603762965
34,50,20,4,100,0,True,True,False,False,1.0,43063617.66666697,32983500.00000024,0.0,0.0,0.0,25.53895978997814,0.425649329832969,1.4256493298329689
35,50,20,4,100,0,True,True,False,False,0.9712275733659742,44718102.00000055,34250333.33333376,0.0,0.0,0.0,24.594067073776664,0.4099011178962777,1.381128691262252
36,50,20,4,100,0,True,True,False,False,0.8057523817329519,39852816.66666699,30525000.00000025,0.0,0.0,0.0,27.596543782559685,0.4599423963759947,1.2656947781089467
37,50,20,4,100,0,True,True,False,False,1.0,36855111.33333339,28229666.666666716,0.0,0.0,0.0,29.84117969561775,0.4973529949269625,1.4973529949269626
38,50,20,4,100,0,True,True,False,False,0.8011457507491965,47866650.333334014,36661166.66666718,0.0,0.0,0.0,22.976330959889765,0.3829388493314961,1.1840846000806926
39,50,20,4,100,0,True,True,False,False,0.9406465129589678,46046957.000000305,35267833.333333574,0.0,0.0,0.0,23.884314440148405,0.3980719073358067,1.3387184202947746
40,50,20,4,100,0,True,False,True,True,1.0,37762563.66666678,28924500.000000093,0.0,0.0,0.0,29.124081979921275,0.4854013663320212,1.4854013663320211
41,50,20,4,100,0,True,False,True,True,1.0,47155533.33333437,36116666.66666746,0.0,0.0,0.0,23.32281966202572,0.388713661033762,1.388713661033762
42,50,20,4,100,0,True,False,True,True,0.9982320478503685,44962324.00000035,34437333.3333336,0.0,0.0,0.0,24.460479400486314,0.4076746566747719,1.4059067045251403
43,50,20,4,100,0,True,False,True,True,1.0,47545809.666667245,36415500.00000043,0.0,0.0,0.0,23.1313759868734,0.3855229331145567,1.3855229331145569
44,50,20,4,100,0,True,False,True,True,1.0,52535600.333334096,40236166.66666726,0.0,0.0,0.0,20.93437579511529,0.3489062632519215,1.3489062632519215
45,50,20,4,100,0,True,False,True,True,1.0,51343222.33333432,39323166.66666742,0.0,0.0,0.0,21.420548808950787,0.3570091468158464,1.3570091468158465
46,50,20,4,100,0,True,False,True,True,0.994095014400358,49358320.00000104,37803333.33333413,0.0,0.0,0.0,22.28195773275867,0.3713659622126445,1.3654609766130026
47,50,20,4,100,0,True,False,True,True,0.9984369230769232,49571415.66666732,37966500.00000049,0.0,0.0,0.0,22.186172922624937,0.3697695487104155,1.3682064717873388
48,50,20,4,100,0,True,False,True,True,0.9936927116995942,51984903.66666776,39814500.00000084,0.0,0.0,0.0,21.156141926356625,0.3526023654392771,1.3462950771388713
49,50,20,4,100,0,True,False,True,True,0.9943019628797768,43269530.333333686,33141166.66666693,0.0,0.0,0.0,25.41742402858354,0.4236237338097257,1.4179256966895024
50,50,20,4,100,0,True,False,True,False,1.0,34678662.33333334,26563166.66666668,0.0,0.0,0.0,31.714026032165187,0.5285671005360865,1.5285671005360864
51,50,20,4,100,0,True,False,True,False,1.0,37609326.33333361,28807166.666666873,0.0,0.0,0.0,29.24274660631806,0.487379110105301,1.487379110105301
52,50,20,4,100,0,True,False,True,False,1.0,45237672.3333336,34648166.666666865,0.0,0.0,0.0,24.31159569608552,0.4051932616014253,1.405193261601425
53,50,20,4,100,0,True,False,True,False,1.0,44488246.00000041,34074333.33333365,0.0,0.0,0.0,24.721136454783807,0.4120189409130634,1.4120189409130637
54,50,20,4,100,0,True,False,True,False,1.0,43406007.333333686,33245666.66666694,0.0,0.0,0.0,25.337506662480045,0.4222917777080007,1.4222917777080006
55,50,20,4,100,0,True,False,True,False,1.0,49748596.33333421,38102166.66666733,0.0,0.0,0.0,22.107156403588323,0.368452606726472,1.3684526067264722
56,50,20,4,100,0,True,False,True,False,0.9732593159545904,43283896.33333391,33152166.6666671,0.0,0.0,0.0,25.408987941619735,0.4234831323603289,1.3967424483149191
57,50,20,4,100,0,True,False,True,False,0.8980070223065745,40872802.666666985,31306000.000000235,0.0,0.0,0.0,26.907868515141494,0.4484644752523583,1.3464714975589327
58,50,20,4,100,0,True,False,True,False,0.9773665248615178,44279939.00000045,33914833.33333369,0.0,0.0,0.0,24.837432589958823,0.4139572098326471,1.391323734694165
59,50,20,4,100,0,True,False,True,False,0.756724811421432,48764525.33333364,37348666.666666895,0.0,0.0,0.0,22.553280124890644,0.3758880020815107,1.1326128135029427
60,50,20,4,100,0,True,False,False,True,0.9435280605681936,30462241.333332967,23334666.666666392,0.0,0.0,0.0,36.103712394811744,0.601728539913529,1.5452566004817228
61,50,20,4,100,0,True,False,False,True,0.9177144918103428,34781618.66666657,26641999.999999933,0.0,0.0,0.0,31.620150014870013,0.5270025002478336,1.4447169920581762
62,50,20,4,100,0,True,False,False,True,0.853569313404609,34410497.00000006,26357833.333333388,0.0,0.0,0.0,31.961177427922593,0.5326862904653765,1.3862556038699854
63,50,20,4,100,0,True,False,False,True,0.9540746435037852,42814607.0000004,32792833.333333645,0.0,0.0,0.0,25.687494924337148,0.4281249154056191,1.3821995589094045
64,50,20,4,100,0,True,False,False,True,0.9018538018825462,45960761.00000058,35201833.333333775,0.0,0.0,0.0,23.929107701240763,0.3988184616873461,1.3006722635698922
65,50,20,4,100,0,True,False,False,True,0.9050470877411734,40899140.33333369,31326166.666666936,0.0,0.0,0.0,26.890540755538545,0.4481756792589758,1.353222767000149
66,50,20,4,100,0,True,False,False,True,0.9084829127394938,40901534.666666895,31328000.000000183,0.0,0.0,0.0,26.888966611228227,0.4481494435204704,1.3566323562599645
67,50,20,4,100,0,True,False,False,True,0.9646876849787496,40958998.66666691,31372000.00000019,0.0,0.0,0.0,26.851242359472884,0.4475207059912147,1.4122083909699643
68,50,20,4,100,0,True,False,False,True,0.9403061141511204,39050715.00000012,29910833.33333343,0.0,0.0,0.0,28.16337677812037,0.4693896129686727,1.409695727119793
69,50,20,4,100,0,True,False,False,True,0.8870581205227481,46444416.33333369,35572166.66666693,0.0,0.0,0.0,23.67991863880225,0.394665310646704,1.281723431169452
70,50,20,4,100,0,True,False,False,False,0.9435280605681936,30462241.333332967,23334666.666666392,0.0,0.0,0.0,36.103712394811744,0.601728539913529,1.5452566004817228
71,50,20,4,100,0,True,False,False,False,0.9177144918103428,34781618.66666657,26641999.999999933,0.0,0.0,0.0,31.620150014870013,0.5270025002478336,1.4447169920581762
72,50,20,4,100,0,True,False,False,False,0.853569313404609,34410497.00000006,26357833.333333388,0.0,0.0,0.0,31.961177427922593,0.5326862904653765,1.3862556038699854
73,50,20,4,100,0,True,False,False,False,0.9540746435037852,42814607.0000004,32792833.333333645,0.0,0.0,0.0,25.687494924337148,0.4281249154056191,1.3821995589094045
74,50,20,4,100,0,True,False,False,False,0.9018538018825462,45960761.00000058,35201833.333333775,0.0,0.0,0.0,23.929107701240763,0.3988184616873461,1.3006722635698922
75,50,20,4,100,0,True,False,False,False,0.9050470877411734,40899140.33333369,31326166.666666936,0.0,0.0,0.0,26.890540755538545,0.4481756792589758,1.353222767000149
76,50,20,4,100,0,True,False,False,False,0.9084829127394938,40901534.666666895,31328000.000000183,0.0,0.0,0.0,26.888966611228227,0.4481494435204704,1.3566323562599645
77,50,20,4,100,0,True,False,False,False,0.9646876849787496,40958998.66666691,31372000.00000019,0.0,0.0,0.0,26.851242359472884,0.4475207059912147,1.4122083909699643
78,50,20,4,100,0,True,False,False,False,0.9403061141511204,39050715.00000012,29910833.33333343,0.0,0.0,0.0,28.16337677812037,0.4693896129686727,1.409695727119793
79,50,20,4,100,0,True,False,False,False,0.8870581205227481,46444416.33333369,35572166.66666693,0.0,0.0,0.0,23.67991863880225,0.394665310646704,1.281723431169452
80,50,20,4,100,0,False,True,True,True,0.9871579277724116,35916532.666666694,27511000.000000022,0.0,0.0,0.0,30.62099591313554,0.5103499318855923,1.497507859658004
81,50,20,4,100,0,False,True,True,True,0.9901990185387132,38816070.33333372,29731166.66666697,0.0,0.0,0.0,28.333625494684217,0.4722270915780703,1.4624261101167837
82,50,20,4,100,0,False,True,True,True,0.9744152140566952,44562470.3333336,34131166.666666865,0.0,0.0,0.0,24.679960329248804,0.4113326721541467,1.385747886210842
83,50,20,4,100,0,False,True,True,True,0.982824300381552,45163448.00000043,34591333.33333367,0.0,0.0,0.0,24.351550838190864,0.4058591806365144,1.3886834810180666
84,50,20,4,100,0,False,True,True,True,0.9718276189955876,43951915.33333382,33663666.66666705,0.0,0.0,0.0,25.022800295710766,0.4170466715951794,1.3888742905907672
85,50,20,4,100,0,False,True,True,True,1.0,42769114.66666715,32758000.000000387,0.0,0.0,0.0,25.71481800761118,0.428580300126853,1.4285803001268529
86,50,20,4,100,0,False,True,True,True,0.9847550935191164,46355826.00000074,35504333.3333339,0.0,0.0,0.0,23.725173185350695,0.3954195530891782,1.3801746466082947
87,50,20,4,100,0,False,True,True,True,0.9930137967705936,43410796.00000045,33249333.333333693,0.0,0.0,0.0,25.334711669419484,0.4222451944903247,1.4152589912609184
88,50,20,4,100,0,False,True,True,True,0.9855093078898224,39024377.33333364,29890666.6666669,0.0,0.0,0.0,28.18238432367193,0.469706405394532,1.4552157132843546
89,50,20,4,100,0,False,True,True,True,0.985614087606383,46403712.66666719,35541000.0000004,0.0,0.0,0.0,23.700689811184237,0.3950114968530706,1.3806255844594535
90,50,20,4,100,0,False,True,True,False,0.574502624568414,29509296.66666639,22604999.999999795,0.0,0.0,0.0,37.26961074075109,0.6211601790125182,1.1956628035809322
91,50,20,4,100,0,False,True,True,False,1.0,26830037.666666288,20553499.999999706,0.0,0.0,0.0,40.99136995869352,0.6831894993115586,1.6831894993115586
