air_temp,ghi,wind_speed_100m,time
24.03974562798092,0.0,4.4031796502384735,00:00
24.03503184713376,0.0,4.392993630573248,00:05
24.03343949044586,0.0,4.375,00:10
24.020700636942674,0.0,4.357643312101911,00:15
24.004777070063696,0.0,4.34203821656051,00:20
24.006369426751593,0.0,4.328503184713376,00:25
24.004777070063696,0.0,4.314968152866243,00:30
23.99044585987261,0.0,4.3012738853503185,00:35
23.99044585987261,0.0,4.289490445859873,00:40
23.99203821656051,0.0,4.278025477707006,00:45
23.984076433121018,0.0,4.2671974522293,00:50
23.980891719745223,0.0,4.257324840764331,00:55
23.98248407643312,0.0,4.24952229299363,01:00
23.98248407643312,0.0,4.235987261146496,01:05
23.980891719745223,0.0,4.218789808917197,01:10
23.97452229299363,0.0,4.203821656050955,01:15
23.95859872611465,0.0,4.1902866242038215,01:20
23.95700636942675,0.0,4.174203821656051,01:25
23.94904458598726,0.0,4.161146496815286,01:30
23.937898089171973,0.0,4.149203821656051,01:35
23.936305732484076,0.0,4.137579617834395,01:40
23.93471337579618,0.0,4.129299363057324,01:45
23.920382165605094,0.0,4.118471337579618,01:50
23.9171974522293,0.0,4.109554140127389,01:55
23.918789808917197,0.0,4.102229299363057,02:00
23.9171974522293,0.0,4.09171974522293,02:05
23.869426751592357,0.0,4.078980891719745,02:10
23.84235668789809,0.0,4.066082802547771,02:15
23.812101910828027,0.0,4.053821656050956,02:20
23.780254777070063,0.0,4.0437898089171975,02:25
23.761146496815286,0.0,4.0348726114649685,02:30
23.727707006369428,0.0,4.026114649681529,02:35
23.70859872611465,0.0,4.020700636942675,02:40
23.678343949044585,0.0,4.014490445859872,02:45
23.648089171974522,0.0,4.010031847133758,02:50
23.621019108280255,0.0,4.00828025477707,02:55
23.576433121019107,0.0,4.005891719745223,03:00
23.576433121019107,0.0,3.9996815286624208,03:05
23.563694267515924,0.0,3.9941082802547774,03:10
23.54299363057325,0.0,3.9853503184713377,03:15
23.522292993630572,0.0,3.9770700636942675,03:20
23.501592356687897,0.0,3.970700636942675,03:25
23.488853503184714,0.0,3.966242038216561,03:30
23.463375796178344,0.0,3.964649681528663,03:35
23.453821656050955,0.0,3.962420382165605,03:40
23.44904458598726,0.0,3.960191082802548,03:45
23.428343949044585,0.0,3.9611464968152865,03:50
23.406050955414013,0.0,3.9603503184713373,03:55
23.38535031847134,0.0,3.9614649681528666,04:00
23.38216560509554,0.0,3.9477707006369425,04:05
23.4156050955414,0.0,3.921974522292994,04:10
23.436305732484076,0.0,3.894904458598726,04:15
23.44267515923567,0.0,3.871337579617834,04:20
23.45859872611465,0.0,3.850636942675159,04:25
23.484076433121018,0.0,3.828980891719745,04:30
23.506369426751593,0.0,3.813216560509554,04:35
23.51751592356688,0.0,3.7982484076433125,04:40
23.53980891719745,0.0,3.7869426751592354,04:45
23.554140127388536,0.0,3.7777070063694267,04:50
23.55732484076433,0.0,3.7692675159235667,04:55
23.59235668789809,0.0,3.762261146496815,05:00
23.593949044585987,0.0,3.7603503184713376,05:05
23.593949044585987,0.0,3.760987261146497,05:10
23.593949044585987,0.0,3.7605095541401274,05:15
23.589171974522294,0.0,3.762579617834395,05:20
23.585987261146496,0.15445859872611464,3.767993630573249,05:25
23.5843949044586,0.7388535031847133,3.770382165605096,05:30
23.573248407643312,1.9681528662420382,3.7756369426751593,05:35
23.573248407643312,3.428343949044586,3.78343949044586,05:40
23.571656050955415,5.968152866242038,3.788375796178344,05:45
23.576433121019107,8.159235668789808,3.7961783439490446,05:50
23.571656050955415,10.845541401273886,3.8047770700636945,05:55
23.571656050955415,14.020700636942674,3.812261146496815,06:00
23.570063694267517,18.328025477707005,3.809394904458599,06:05
23.581210191082803,22.904458598726116,3.7941082802547768,06:10
23.59713375796178,28.113057324840764,3.7786624203821657,06:15
23.60987261146497,33.804140127388536,3.762579617834395,06:20
23.613057324840764,39.79140127388535,3.7487261146496813,06:25
23.61783439490446,46.6671974522293,3.736146496815287,06:30
23.636942675159236,54.10191082802548,3.723248407643312,06:35
23.633757961783438,61.796178343949045,3.7111464968152865,06:40
23.638535031847134,70.11783439490446,3.7020700636942676,06:45
23.65286624203822,78.96974522292993,3.6910828025477707,06:50
23.659235668789808,87.78821656050955,3.682484076433121,06:55
23.668789808917197,96.18789808917198,3.6740445859872612,07:00
23.668789808917197,104.33917197452229,3.6578025477707006,07:05
23.670382165605094,113.47133757961784,3.633917197452229,07:10
23.68312101910828,121.67993630573248,3.6078025477707003,07:15
23.69904458598726,131.37420382165604,3.5837579617834394,07:20
23.69904458598726,141.13535031847132,3.5611464968152866,07:25
23.70063694267516,151.1751592356688,3.5390127388535033,07:30
23.705414012738853,161.20222929936307,3.5214968152866244,07:35
23.71019108280255,172.73089171974522,3.5027070063694263,07:40
23.721337579617835,181.9920382165605,3.4818471337579617,07:45
23.730891719745223,192.95700636942675,3.4652866242038214,07:50
23.727707006369428,203.156050955414,3.450636942675159,07:55
23.734076433121018,213.76592356687897,3.4339171974522293,08:00
23.81687898089172,223.1640127388535,3.4208598726114654,08:05
23.963375796178344,233.5875796178344,3.4121019108280257,08:10
24.146496815286625,242.6640127388535,3.401910828025478,08:15
24.286624203821656,252.7388535031847,3.3918789808917196,08:20
24.447452229299362,262.5748407643312,3.3808917197452226,08:25
24.606687898089174,273.14331210191085,3.374203821656051,08:30
24.772292993630572,282.671974522293,3.3695859872611464,08:35
24.90286624203822,294.8423566878981,3.363216560509554,08:40
25.04936305732484,305.34554140127386,3.357484076433121,08:45
25.222929936305732,314.8089171974522,3.3531847133757964,08:50
