air_temp,ghi,wind_speed_100m,time,season
18.132427257953207,0.0,4.351099757340992,00:00,Spring
18.111239119303633,0.0,4.341244239631336,00:05,Spring
18.1036866359447,0.0,4.324385560675883,00:10,Spring
18.10048643113159,0.0,4.30231694828469,00:15,Spring
18.08934971838198,0.0,4.292613927291346,00:20,Spring
18.085381464413725,0.0,4.2738479262672815,00:25,Spring
18.08141321044547,0.0,4.262237583205326,00:30,Spring
18.077444956477212,0.0,4.249193548387097,00:35,Spring
18.070276497695854,0.0,4.235112647209422,00:40,Spring
18.070276497695854,0.0,4.2210061443932405,00:45,Spring
18.06272401433692,0.0,4.207642089093702,00:50,Spring
18.065924219150023,0.0,4.198617511520737,00:55,Spring
18.06989247311828,0.0,4.185496671786994,01:00,Spring
18.06989247311828,0.0,4.168241167434716,01:05,Spring
18.062339989759344,0.0,4.156387608806964,01:10,Spring
18.047619047619047,0.0,4.143433179723503,01:15,Spring
18.022145417306707,0.0,4.12878904249872,01:20,Spring
18.018177163338454,0.0,4.112877624167947,01:25,Spring
18.018177163338454,0.0,4.098220686123912,01:30,Spring
18.01536098310292,0.0,4.083179723502305,01:35,Spring
18.011776753712237,0.0,4.071134152585766,01:40,Spring
18.018945212493602,0.0,4.063620071684588,01:45,Spring
18.021761392729136,0.0,4.049500768049155,01:50,Spring
18.010240655401947,0.0,4.039042498719918,01:55,Spring
18.009856630824373,0.0,4.027432155657962,02:00,Spring
18.009856630824373,0.0,4.014196108550947,02:05,Spring
17.972862263184844,0.0,3.999321556579621,02:10,Spring
17.954557091653864,0.0,3.9862007168458784,02:15,Spring
17.895673323092677,0.0,3.9761392729134664,02:20,Spring
17.876984126984127,0.0,3.962467997951869,02:25,Spring
17.861879160266255,0.0,3.950499231950845,02:30,Spring
17.816564260112646,0.0,3.939132104454685,02:35,Spring
17.801459293394778,0.0,3.9310931899641575,02:40,Spring
17.76446492575525,0.0,3.921479774705581,02:45,Spring
17.742575524833587,0.0,3.9125448028673837,02:50,Spring
17.70916538658474,0.0,3.908768561187916,02:55,Spring
17.66141833077317,0.0,3.898668714797747,03:00,Spring
17.66141833077317,0.0,3.890040962621608,03:05,Spring
17.639144905273938,0.0,3.882808499743984,03:10,Spring
17.64311315924219,0.0,3.872542242703533,03:15,Spring
17.632360471070147,0.0,3.862608806963646,03:20,Spring
17.621607782898106,0.0,3.8544930875576036,03:25,Spring
17.62519201228879,0.0,3.8457885304659496,03:30,Spring
17.59575012800819,0.0,3.8360855094726065,03:35,Spring
17.588197644649256,0.0,3.833781362007169,03:40,Spring
17.584613415258577,0.0,3.8273425499231952,03:45,Spring
17.599718381976448,0.0,3.82252944188428,03:50,Spring
17.592549923195083,0.0,3.813504864311316,03:55,Spring
17.581797235023043,0.0,3.8114823348694316,04:00,Spring
17.57821300563236,0.0,3.7940604198668715,04:05,Spring
17.567460317460316,0.0,3.7657706093189964,04:10,Spring
17.571044546851,0.0,3.73389656938044,04:15,Spring
17.556707629288272,0.0,3.708512544802867,04:20,Spring
17.55952380952381,0.0,3.6824500768049155,04:25,Spring
17.573860727086537,0.0,3.6536866359447004,04:30,Spring
17.602150537634408,0.0,3.6314516129032257,04:35,Spring
17.59818228366615,0.0,3.612199180747568,04:40,Spring
17.605350742447516,0.0,3.5933051715309774,04:45,Spring
17.601766513056834,0.0,3.5749999999999997,04:50,Spring
17.590245775729645,0.0,3.5542754736303124,04:55,Spring
17.602150537634408,0.0,3.5396313364055296,05:00,Spring
17.602534562211982,0.0,3.5377624167946746,05:05,Spring
17.602534562211982,0.0,3.5469790066564264,05:10,Spring
17.606118791602665,0.0,3.5599334357398873,05:15,Spring
17.5989503328213,0.0,3.5708653353814643,05:20,Spring
17.595366103430617,0.0,3.588479262672811,05:25,Spring
17.59178187403994,0.0,3.6014720942140297,05:30,Spring
17.592549923195083,0.0,3.6172555043522787,05:35,Spring
17.592549923195083,0.0,3.635343061955965,05:40,Spring
17.58538146441372,0.0,3.65136968766001,05:45,Spring
17.6036866359447,0.0,3.669457245263697,05:50,Spring
17.6036866359447,0.0,3.6857142857142855,05:55,Spring
17.59651817716334,0.003584229390681004,3.7040834613415257,06:00,Spring
17.59651817716334,0.14336917562724014,3.7148617511520734,06:05,Spring
17.59651817716334,0.5842293906810035,3.7188428059395804,06:10,Spring
17.6036866359447,1.3870967741935483,3.7205453149001535,06:15,Spring
17.614823348694316,2.5304659498207887,3.7243343573988734,06:20,Spring
17.621991807475677,4.154121863799284,3.7285970302099334,06:25,Spring
17.625960061443934,5.8836405529953915,3.7322964669738865,06:30,Spring
17.62557603686636,8.182667690732208,3.7386584741423454,06:35,Spring
17.62557603686636,11.191756272401435,3.7426395289298515,06:40,Spring
17.62557603686636,15.557731694828469,3.752547363031234,06:45,Spring
17.640296979006656,21.0663082437276,3.7542242703533026,06:50,Spring
17.636712749615977,28.314388120839737,3.76031746031746,06:55,Spring
17.633128520225295,33.57130056323604,3.77121095750128,07:00,Spring
17.633128520225295,39.05824372759857,3.7648105478750638,07:05,Spring
17.640296979006656,44.99116743471583,3.7458013312852025,07:10,Spring
17.629160266257042,50.741039426523294,3.7317972350230413,07:15,Spring
17.620839733742958,57.89016897081414,3.7206221198156686,07:20,Spring
17.613287250384023,65.85087045570917,3.703853046594982,07:25,Spring
17.60970302099334,74.02713773681516,3.6911290322580643,07:30,Spring
17.60931899641577,81.92076292882744,3.6771633384536613,07:35,Spring
17.6089349718382,90.68689196108551,3.663364055299539,07:40,Spring
17.620455709165384,99.12250384024578,3.6506784434203787,07:45,Spring
