air_temp,ghi,wind_speed_100m,time,day
23.0,0.0,4.2250000000000005,00:00,1
22.916666666666668,0.0,4.233333333333333,00:05,1
22.916666666666668,0.0,4.191666666666666,00:10,1
22.916666666666668,0.0,4.158333333333333,00:15,1
22.916666666666668,0.0,4.133333333333334,00:20,1
22.916666666666668,0.0,4.108333333333333,00:25,1
22.916666666666668,0.0,4.066666666666666,00:30,1
22.916666666666668,0.0,4.0249999999999995,00:35,1
22.833333333333332,0.0,4.008333333333334,00:40,1
22.833333333333332,0.0,3.975,00:45,1
22.833333333333332,0.0,3.9499999999999997,00:50,1
22.833333333333332,0.0,3.9416666666666664,00:55,1
22.833333333333332,0.0,3.908333333333333,01:00,1
22.833333333333332,0.0,3.8833333333333333,01:05,1
22.833333333333332,0.0,3.85,01:10,1
22.833333333333332,0.0,3.8166666666666664,01:15,1
22.833333333333332,0.0,3.7916666666666665,01:20,1
22.75,0.0,3.7583333333333333,01:25,1
22.75,0.0,3.725,01:30,1
22.666666666666668,0.0,3.6999999999999997,01:35,1
22.666666666666668,0.0,3.6750000000000003,01:40,1
22.666666666666668,0.0,3.658333333333333,01:45,1
22.666666666666668,0.0,3.625,01:50,1
22.666666666666668,0.0,3.6,01:55,1
22.666666666666668,0.0,3.5583333333333336,02:00,1
22.666666666666668,0.0,3.5500000000000003,02:05,1
22.583333333333332,0.0,3.516666666666667,02:10,1
22.5,0.0,3.516666666666667,02:15,1
22.5,0.0,3.483333333333333,02:20,1
22.5,0.0,3.4499999999999997,02:25,1
22.5,0.0,3.4166666666666665,02:30,1
22.5,0.0,3.4,02:35,1
22.416666666666668,0.0,3.375,02:40,1
22.333333333333332,0.0,3.358333333333333,02:45,1
22.333333333333332,0.0,3.35,02:50,1
22.333333333333332,0.0,3.3166666666666664,02:55,1
22.25,0.0,3.3249999999999997,03:00,1
22.25,0.0,3.2916666666666665,03:05,1
22.25,0.0,3.266666666666667,03:10,1
22.166666666666668,0.0,3.2583333333333333,03:15,1
22.166666666666668,0.0,3.2416666666666667,03:20,1
22.166666666666668,0.0,3.216666666666667,03:25,1
22.166666666666668,0.0,3.216666666666667,03:30,1
22.083333333333332,0.0,3.2083333333333335,03:35,1
22.083333333333332,0.0,3.2083333333333335,03:40,1
22.083333333333332,0.0,3.1833333333333336,03:45,1
22.083333333333332,0.0,3.2083333333333335,03:50,1
22.0,0.0,3.1916666666666664,03:55,1
22.0,0.0,3.1999999999999997,04:00,1
22.0,0.0,3.1833333333333336,04:05,1
22.083333333333332,0.0,3.1666666666666665,04:10,1
22.0,0.0,3.1666666666666665,04:15,1
22.083333333333332,0.0,3.15,04:20,1
22.083333333333332,0.0,3.141666666666667,04:25,1
22.166666666666668,0.0,3.125,04:30,1
22.25,0.0,3.125,04:35,1
22.25,0.0,3.125,04:40,1
22.333333333333332,0.0,3.1166666666666667,04:45,1
22.25,0.0,3.1166666666666667,04:50,1
22.25,0.0,3.1166666666666667,04:55,1
22.333333333333332,0.0,3.108333333333333,05:00,1
22.333333333333332,0.0,3.108333333333333,05:05,1
22.416666666666668,0.0,3.108333333333333,05:10,1
22.416666666666668,0.0,3.1,05:15,1
22.5,0.0,3.108333333333333,05:20,1
22.5,0.25,3.0666666666666664,05:25,1
22.5,1.1666666666666667,3.0749999999999997,05:30,1
22.416666666666668,2.6666666666666665,3.0749999999999997,05:35,1
22.416666666666668,4.5,3.0833333333333335,05:40,1
22.416666666666668,7.416666666666667,3.0666666666666664,05:45,1
22.416666666666668,9.25,3.0666666666666664,05:50,1
22.416666666666668,9.916666666666666,3.0749999999999997,05:55,1
22.416666666666668,14.25,3.0666666666666664,06:00,1
22.416666666666668,16.916666666666668,3.033333333333333,06:05,1
22.416666666666668,21.083333333333332,3.016666666666667,06:10,1
22.416666666666668,27.833333333333332,2.983333333333333,06:15,1
22.416666666666668,34.916666666666664,2.966666666666667,06:20,1
22.416666666666668,42.5,2.9333333333333336,06:25,1
22.416666666666668,49.666666666666664,2.908333333333333,06:30,1
22.416666666666668,56.833333333333336,2.875,06:35,1
22.416666666666668,71.66666666666667,2.858333333333333,06:40,1
22.333333333333332,83.83333333333333,2.8249999999999997,06:45,1
22.416666666666668,93.33333333333333,2.8000000000000003,06:50,1
22.5,104.33333333333333,2.783333333333333,06:55,1
22.416666666666668,113.33333333333333,2.75,07:00,1
22.416666666666668,120.5,2.725,07:05,1
22.416666666666668,129.58333333333334,2.6916666666666664,07:10,1
22.416666666666668,135.16666666666666,2.6166666666666667,07:15,1
22.416666666666668,144.91666666666666,2.5749999999999997,07:20,1
22.416666666666668,155.5,2.5416666666666665,07:25,1
22.416666666666668,171.5,2.475,07:30,1
22.5,185.75,2.4499999999999997,07:35,1
22.5,203.66666666666666,2.4166666666666665,07:40,1
22.5,218.66666666666666,2.3666666666666667,07:45,1
22.583333333333332,231.66666666666666,2.3249999999999997,07:50,1
22.583333333333332,237.58333333333334,2.275,07:55,1
22.583333333333332,243.16666666666666,2.2583333333333333,08:00,1
22.666666666666668,245.25,2.225,08:05,1
22.75,265.5833333333333,2.1750000000000003,08:10,1
23.0,281.6666666666667,2.15,08:15,1
23.166666666666668,296.0,2.1416666666666666,08:20,1
23.416666666666668,306.8333333333333,2.1,08:25,1
23.416666666666668,316.5833333333333,2.0749999999999997,08:30,1
23.666666666666668,331.5,2.0500000000000003,08:35,1
23.833333333333332,340.75,2.0083333333333333,08:40,1
24.166666666666668,351.9166666666667,2.0083333333333333,08:45,1
24.333333333333332,364.75,2.0,08:50,1
24.583333333333332,372.9166666666667,1.9666666666666668,08:55,1
24.583333333333332,387.4166666666667,1.9666666666666668,09:00,1
24.75,399.1666666666667,1.9583333333333333,09:05,1
24.75,408.0,1.9666666666666668,09:10,1
24.916666666666668,415.0,1.9749999999999999,09:15,1
25.083333333333332,429.0,1.9833333333333334,09:20,1
25.166666666666668,444.25,1.9916666666666665,09:25,1
25.333333333333332,450.5,2.0,09:30,1
25.333333333333332,460.0,2.0083333333333333,09:35,1
25.333333333333332,470.5,2.0166666666666666,09:40,1
25.5,475.6666666666667,2.033333333333333,09:45,1
25.666666666666668,482.9166666666667,2.033333333333333,09:50,1
25.916666666666668,494.0,2.0500000000000003,09:55,1
25.916666666666668,498.9166666666667,2.0749999999999997,10:00,1
25.916666666666668,509.5833333333333,2.066666666666667,10:05,1
25.916666666666668,516.4166666666666,2.066666666666667,10:10,1
25.916666666666668,519.6666666666666,2.0583333333333336,10:15,1
25.916666666666668,528.9166666666666,2.0833333333333335,10:20,1
25.916666666666668,535.0,2.0833333333333335,10:25,1
26.0,543.1666666666666,2.066666666666667,10:30,1
25.916666666666668,544.25,2.0749999999999997,10:35,1
25.916666666666668,550.0,2.0749999999999997,10:40,1
25.916666666666668,559.1666666666666,2.0500000000000003,10:45,1
26.0,562.75,2.0749999999999997,10:50,1
26.0,569.5,2.0749999999999997,10:55,1
25.916666666666668,575.9166666666666,2.058333333333333,11:00,1
26.0,582.8333333333334,2.0833333333333335,11:05,1
26.083333333333332,584.0833333333334,2.091666666666667,11:10,1
26.416666666666668,582.5833333333334,2.058333333333333,11:15,1
26.5,571.9166666666666,2.0749999999999997,11:20,1
26.666666666666668,567.25,2.0749999999999997,11:25,1
26.75,576.75,2.0833333333333335,11:30,1
26.75,585.1666666666666,2.091666666666667,11:35,1
26.916666666666668,590.3333333333334,2.091666666666667,11:40,1
27.416666666666668,588.75,2.1083333333333334,11:45,1
27.416666666666668,599.6666666666666,2.1333333333333333,11:50,1
27.5,617.9166666666666,2.125,11:55,1
27.5,622.0,2.158333333333333,12:00,1
27.583333333333332,625.0,2.1666666666666665,12:05,1
27.666666666666668,621.1666666666666,2.15,12:10,1
27.666666666666668,615.6666666666666,2.15,12:15,1
27.75,626.6666666666666,2.158333333333333,12:20,1
27.75,633.5,2.158333333333333,12:25,1
27.75,645.5833333333334,2.1666666666666665,12:30,1
27.916666666666668,639.5,2.175,12:35,1
27.916666666666668,637.1666666666666,2.1999999999999997,12:40,1
27.916666666666668,633.25,2.191666666666667,12:45,1
27.916666666666668,628.3333333333334,2.191666666666667,12:50,1
28.083333333333332,618.6666666666666,2.1999999999999997,12:55,1
