nb_electrical,nb_activeCS_Cparking,nb_activeCS_Cparking_fast,nb_solar,avg_statisfied_day,self_consumption,self_sufficiency,payback_period_norm,metric
82,22,6,673,0.8625425476196023,0.813991212916099,0.8120512769337507,0.6606948822678351,2.172878451434438
92,22,6,673,0.5503152589597696,0.8334768131628758,0.6776111269108909,0.7629799675400175,1.8553841280284997
82,47,6,673,0.9879554905456701,0.9981639738380609,0.4970691812786002,0.9021104948619162,2.2877213304304664
82,22,2,673,0.6998510122002073,0.8676738371437538,0.7429962544199711,0.7597031429039016,2.0539511586400856
82,22,6,829,0.8553600614448787,0.712983873098641,0.8343824721821321,0.530471418596995,2.0533374577875794
82,47,2,829,0.9755540442479895,0.9814757463351087,0.6962244249065145,0.9111213036706878,2.443654887843889
92,22,2,829,0.6250797263481995,0.7899174371075478,0.9158559866835553,0.5862960398444262,1.9440605555394699
92,47,6,829,0.8973015689752564,0.9867151764842942,0.5558373432351217,0.970146208853283,2.3121176524166365
92,47,2,673,0.9561398012306832,0.9943030007786943,0.5207202477888272,0.929333535100991,2.302049534562736
92,47,2,829,0.9787168748631975,0.9288136142017318,0.7839541920679554,0.8022405442314926,2.4081207727490543
157,37,2,323,0.6752310568532405,1.0000000000000069,0.23066794434803006,0.5462502648143632,1.4060156771460277
167,37,2,323,0.5618366267220644,1.0000000000000047,0.27539334248812963,0.6202247223776836,1.4023760230902518
157,32,2,323,0.6158982728966493,0.9999100928098893,0.3104873422138185,0.6734299498301594,1.5377180964978634
157,37,6,323,0.6171888156745274,1.000000000000007,0.3061589363269809,0.6670406718701999,1.529156636606312
157,37,2,479,0.627607239327302,0.9999999999999947,0.43527055883735927,0.8340269159873527,1.8098506023845422
157,32,6,479,0.5301247920534251,0.9999999999999966,0.46258575394928414,0.8643451179120804,1.7645385131249327
167,37,6,479,0.9403117999083489,0.9999999999999913,0.36307791900463154,0.7458845419439758,1.97665867705603
167,32,2,479,0.4829673065548809,0.9999999999999954,0.3742136641073584,0.7602888357171553,1.5426270735579228
167,32,6,323,0.47575269462788883,1.0000000000000073,0.2806915030951966,0.6284982209580224,1.3288041180620684
167,32,6,479,0.5005256958539849,0.9999999999999961,0.38684292923235536,0.7762589599099278,1.586258999149797
195,30,8,848,0.8218558085971526,0.9429304962754983,0.7478113091415997,0.8381965800977611,2.2583014360081934
129,30,8,848,0.8899365684504009,0.7667370487162443,0.7332611876971331,0.6480374223097674,2.1245829409178745
195,24,8,848,0.8314608559728633,0.898509740042705,0.7591359452932482,0.7841245187367925,2.2228941309442547
195,30,4,848,0.4209567269655228,0.8800768852359856,0.7210540086150291,0.7871216968693748,1.784921630726921
195,30,8,304,0.44865075937211546,1.0000000000000042,0.2937022130056787,0.6484675091192589,1.3320800388959173
195,24,4,304,0.40812509268233316,1.0000000000000049,0.3145107111263171,0.6792188452635147,1.3389525068469017
129,30,4,304,0.5752853269526428,1.0000000000000056,0.29311707747255145,0.6475823830512784,1.4573613719819623
129,24,8,304,0.8552685673966552,0.9996404193038783,0.3753644578395619,0.7622197742054855,1.9177799078737903
129,24,4,848,0.5129550770115731,0.8634341323902351,0.7381849464274262,0.7579406826168802,1.8614437167703943
129,24,4,304,0.5466463272818647,1.0000000000000058,0.2937141788729848,0.6484689772540094,1.430086647634262
120,45,4,498,0.792465000173317,0.9999999999999949,0.3570837747257986,0.7379942422206198,1.8161262621745757
54,45,4,498,1.0,0.9999999999999902,0.7334843600711812,0.9050347208853106,2.4918222089422555
120,39,4,498,0.7950966025358032,0.9961456882682633,0.44366846088045525,0.846769149986196,1.9968005212263633
120,45,8,498,0.8104600793764879,0.9994157290217518,0.4269926756239275,0.8250145129485372,1.9770687328241672
120,45,4,654,0.7399865339893847,0.9999314991960087,0.4736785164387512,0.8762075951388419,1.9951369422792278
120,39,8,654,0.7472832808647473,0.9999314991960029,0.48670081057634157,0.8898540886999855,2.026498018025806
54,45,8,654,1.0,0.9735361572749797,0.7049942302940647,0.8970105661915289,2.461005950426781
54,39,4,654,1.0,0.8828923885384206,0.8328086788212561,0.7271508956734747,2.39339783873048
54,39,8,498,1.0,0.9896370667250572,0.6323691799481894,0.9662293308136324,2.472124674772184
54,39,8,654,1.0,0.9022153659655477,0.8567674561322876,0.7362295902661137,2.4216435551719435
101,34,3,411,0.7115710540375225,0.9985116496632289,0.4290698288682674,0.8282189219671039,1.8830458390992404
73,34,3,411,0.870906516915769,0.9999999999999962,0.4223725219041324,0.8192208385357186,2.0280253729747937
101,43,3,411,0.8455891946551045,0.9999999999999972,0.379972255095696,0.767714135175954,1.9172811339076155
101,34,5,411,0.7278687968803879,0.9999100928098812,0.4756597208208574,0.8784980067514085,1.9868945802884823
101,34,3,217,0.7840949443465675,1.0000000000000004,0.1866066343108826,0.4656691599966365,1.3990494117919101
101,43,5,217,0.9186559409134135,0.9999999999999998,0.17741945024620748,0.447748012914147,1.5083395140245264
73,34,5,217,0.9167539076230624,0.9991236548115775,0.2625914932187265,0.6005233178883788,1.7273504200864225
73,43,3,217,0.9881890077877408,0.9994157290217566,0.22437154114165847,0.535726645338615,1.7034128860396827
73,43,5,411,0.9562036625915321,0.9999999999999969,0.41491074519857707,0.810481750717857,2.0986140094682506
