int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
101,30,6,90,4,0.7114542370267557,14621827.577156058,5099566.968351224,3888560.1674748873,0.9937805984785937,0.7625275227500589,88.49782923316914
102,30,6,90,4,0.7291954018784439,17221535.520107295,7051974.121557292,3912896.03905328,0.9999999999999999,0.5548653428962375,75.13847986953128
103,30,6,90,4,0.5248444415934321,16755550.74405624,6695171.077107786,3912896.03905328,0.9999999999999999,0.5844355572081352,77.22813888758778
104,30,6,90,4,0.7159014225808121,14163140.864454374,4789104.717473537,3862585.0512936153,0.9871422631070367,0.8065359350361624,91.36391513605486
105,30,6,90,4,0.6241857478947738,15981516.659247026,6181429.215783384,3862585.05129362,0.987142263107038,0.6248692521514392,80.96853556456932
106,30,6,90,4,0.7336812391819131,17453420.10488657,7229527.402398996,3912896.0390532804,1.0,0.5412381503326003,74.14019671924981
107,30,6,90,4,0.754669374555994,20528144.501465242,9676111.877816912,3854079.578185891,0.98496856029898,0.3983087036252245,63.035409747219866
108,30,6,90,4,0.9168899166990772,18233646.78796695,7826944.464481965,3912896.03905328,0.9999999999999999,0.49992638338111156,70.96770136262361
109,30,6,90,4,0.8240022064449544,18879443.426578727,8325015.708886974,3910609.847456782,0.9994157290217577,0.46974203823810173,68.54015612442737
110,30,6,90,4,0.31598401598401576,17122868.221137468,6977666.6666666595,3912104.5491154254,0.999797722727628,0.5606608535492422,75.57145118962084
111,30,6,90,4,0.7224060895527123,25160029.532120388,13135833.333333358,3909466.9914366603,0.9991236548115779,0.2976184983647773,51.430782239266584
112,30,6,90,4,0.7791504649196948,23275689.198787298,11693000.000000075,3909466.9914366603,0.9991236548115779,0.334342511882035,55.594486975166326
113,30,6,90,4,0.5519833653162882,18386231.3219373,8407666.666666692,3617220.7525315816,0.9244356907081955,0.43022884897096747,70.37875121564909
114,30,6,90,4,0.9169740716799522,31909367.43676681,18377333.333333172,3862585.0512936153,0.9871422631070367,0.21018202049410412,40.55235512155654
115,30,6,90,4,0.7809146324413506,25621978.984020136,13484166.666666687,3912896.03905328,0.9999999999999999,0.29018449087596127,50.503515001984795
116,30,6,90,4,0.6578462783008229,24282748.389036246,12551000.000000028,3854079.578185891,0.98496856029898,0.3070735063489668,53.28886085169198
117,30,6,90,4,0.8170924783260218,30501630.317353047,17220499.999999885,3912896.0390532804,1.0,0.2272231374845856,42.423961818979066
118,30,6,90,4,0.7565770955083938,28291660.65068657,15528333.333333293,3912896.039053284,1.0000000000000009,0.25198428930256267,45.737859504850164
119,30,6,90,4,0.7275437383129687,23364122.650687,11755333.333333388,3912896.0390532804,1.0,0.33286134285600255,55.38406125264674
