int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
10,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.540371509350975,29682889.99392364,16732.833333333252,3824.1465725999597,0.9664368307334887,0.22854148466189098
11,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.6428064124523442,33218854.54441259,19270.166666666544,3932.5932378784587,0.9938434296976367,0.20407676310766124
12,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.5277132274024178,29447779.544412546,16382.666666666591,3932.5932378784623,0.9938434296976377,0.24004597773328398
13,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.5414515746465514,39353136.54441255,23967.166666666417,3932.593237878462,0.9938434296976375,0.16408252558897252
14,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.5072745976634377,33765244.341010675,19790.83333333319,3867.390275424302,0.9773653624498672,0.19541321026187192
15,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.5499115473161275,30118192.877745964,16895.99999999992,3932.5932378784587,0.9938434296976367,0.23275291417367877
16,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.6413607113337704,34661162.039795384,20386.666666666464,3924.861903267881,0.9918895698294188,0.19252102207004188
17,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.7864231477222757,36695426.54441239,21932.16666666641,3932.5932378784587,0.9938434296976367,0.17930710164880373
18,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.6973973088184304,33584888.30185787,19565.33333333315,3923.098894676282,0.991444022985574,0.20051275528194348
19,date ('2024-01-01 23:55:00'),50,30,6,10,90,2,true,false,0.6161642546222689,35494390.03979535,21024.666666666424,3924.861903267881,0.9918895698294188,0.18667891222696797
20,date ('2024-01-01 23:55:00'),50,30,6,10,90,4,true,false,0.532908090662906,33055144.223368585,19112.4999999998,3953.18979503944,0.9880472322432174,0.20683792256583294
