int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
166,10,9,30,4,1.0,11123544.847090067,6433166.666666649,1331769.5691020526,0.9564454428661439,0.20701617696345337,57.10409844449623
167,10,9,30,4,1.0,11437690.448792294,6654999.999999989,1343693.0773347865,0.9650086247984841,0.20190729937412305,55.535687282660355
168,10,9,30,4,1.0,8891622.050513275,5195666.666666657,1031258.1993720314,0.7406252763927976,0.1984842880680118,71.43803418447511
169,10,9,30,4,0.5233333333333344,4820036.157942997,1754499.9999999998,1237494.301908085,0.8887391731220057,0.7053259059037248,131.78324377364805
170,10,9,30,6,0.6428205128205126,6258905.744313109,3287166.66666667,962827.1080102997,0.6702711313048966,0.29290486478029676,125.77278395912195
171,10,9,30,6,0.9224358974358975,8537484.75146073,4722666.666666662,1159906.662499142,0.8074678666744292,0.24560417754781408,92.20514272254638
172,10,9,30,6,0.9719626168224299,4341048.949367192,1976333.3333333335,862334.9354321735,0.6003136055551054,0.43633071450438865,181.33866012147885
173,10,9,30,6,0.6334605597964365,7670534.294583472,3831666.666666669,1304706.8299577702,0.9082703588853098,0.3405063497062469,102.62648855580754
174,10,9,30,6,1.0,11834304.909711268,7072999.999999999,1270831.4184372404,0.8846880249290026,0.17967360645231736,66.51848215893281
175,10,9,30,6,0.9267399267399277,9804514.822154323,5404666.666666656,1343575.8038820669,0.9353289563304288,0.2485954984363025,80.28954153052425
176,10,9,30,6,0.8100508905852409,12174904.822154367,7219666.666666659,1343575.8038820666,0.9353289563304287,0.18609942341041621,64.65758964846707
177,10,9,30,6,0.9530769230769232,10537798.138117416,6070166.666666654,1277270.4432003088,0.8891705455981195,0.21041768922330165,74.70251277186011
178,10,9,30,6,0.9252747252747268,11578277.678803118,6755833.333333317,1348036.121101259,0.9384340017156433,0.1995366159271635,67.98938683610629
179,10,9,30,6,0.8540227795952989,12550496.522410154,7542333.333333333,1321218.084794265,0.9197646524780515,0.17517365335142948,62.722618072868784
180,10,9,60,2,1.0,12956289.149943318,6284666.666666662,2320879.0385277346,0.8749265604240177,0.3692923048468871,62.71857555784443
181,10,9,60,2,0.9589835934373747,14075296.606845189,6671499.9999999935,2620441.3243103335,0.9878557549152515,0.3927814321082719,57.73235354804609
182,10,9,60,2,1.0,8367919.751167024,3367833.3333333354,1940700.8709128099,0.731606735901566,0.5762461139940047,97.10896186434765
183,10,9,60,2,1.0,12889159.656970097,5983999.999999993,2479757.112560658,0.934820524966262,0.4143979131952976,63.04522727830194
184,10,9,60,2,0.7549981824790979,12462662.388289882,5555000.0,2545045.902858249,0.9594331375932228,0.458154077922277,65.20276123050016
185,10,9,60,2,0.8413919413919403,14980079.445343483,7749500.000000006,2374914.1591069414,0.8952967569769811,0.30646030829175297,54.24537319477264
186,10,9,60,2,0.6272264631043271,9259007.086798694,3690499.9999999963,2169927.161281294,0.8180206189439494,0.5879764696602889,87.76319019763888
187,10,9,60,2,0.8898717948717934,13261422.434355097,6090333.333333323,2593662.1609021295,0.977760527657464,0.4258653868264683,61.27547810368178
188,10,9,60,2,0.9782051282051281,10526175.322443424,4013166.6666666637,2582697.082695671,0.9736269050081583,0.6435558991724755,77.19803015891364
189,10,9,60,2,0.9829670329670327,11213417.354831021,4497166.66666666,2609606.8105568755,0.9837713525423502,0.5802779847808353,72.46675783898398
190,10,9,60,4,0.9039615846338545,15617463.941085001,7890666.66666668,2596007.7799340817,0.9626558458544775,0.3289972684945181,61.764189348465095
191,10,9,60,4,0.915018315018316,12976514.274418226,5868499.999999989,2596007.7799340826,0.9626558458544778,0.4423630876602348,74.33429190623272
192,10,9,60,4,1.0,12864379.258986782,5718166.666666655,2637101.151286884,0.9778941569506209,0.46117948374249723,74.9822420950588
193,10,9,60,4,0.8321428571428563,16630665.592320303,8602000.000000026,2637101.1512868837,0.9778941569506208,0.3065683737836405,58.00128651768648
194,10,9,60,4,0.9333333333333335,14324922.592320153,6836499.9999999935,2637101.1512868837,0.9778941569506208,0.385738484792933,67.33718760317346
195,10,9,60,4,0.7821701199563798,13382321.110132314,6097666.666666653,2647991.7570192125,0.9819326291594324,0.4342631209237225,72.08017144870789
196,10,9,60,4,1.0,13060315.941084899,5932666.666666656,2596007.7799340836,0.9626558458544782,0.4375785672436378,73.85732507171433
197,10,9,60,4,0.822490842490841,7901077.1116200555,3263333.333333333,1779468.2503432836,0.6598653235734517,0.5452915986751636,122.08462040971223
198,10,9,60,4,1.0,14457891.406518228,7109666.666666679,2527883.5561338104,0.9373939098955278,0.3555558473628121,66.71788941263713
199,10,9,60,4,0.9719230769230768,13280666.429911105,6022499.999999986,2646289.9446451063,0.9813015603147456,0.4394005719626588,72.63189728397211
