int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
61,10,6,120,4,1.0,17635286.753118817,5322451.333148515,5217194.718737711,1.0000000000000009,0.9802240344115015,92.05407446595108
62,10,6,120,4,1.0,14878505.17886566,4767909.8560604,4225222.827485355,0.8098648900932034,0.8861792598940925,109.11042342519575
63,10,6,120,4,1.0,17503252.972068056,5344390.682336073,5138772.770914527,0.984968560298981,0.9615264070979801,92.74847381744668
64,10,6,120,4,1.0,10278326.66666668,3065333.333333337,3065333.333333333,0.5875443602524741,0.9999999999999986,157.9439973692214
65,10,6,120,4,1.0,14545811.523173263,4337310.935868831,4337310.935868838,0.8313492537074109,1.0000000000000016,111.60601094093131
66,10,6,120,4,0.7595238095238097,13338171.774261884,4396333.333333326,3710310.9358688355,0.7111697254739497,0.8439557819096616,121.71083319924006
67,10,6,120,4,0.7639949109414752,16691890.251269648,5303833.333333318,4768643.525916561,0.9140244485776692,0.8990937735442744,97.25681007736785
68,10,6,120,4,1.0,17087954.20170329,5784746.607561836,4655413.2742285095,0.8923211659147888,0.8047739322138919,95.00259544458417
69,10,6,120,4,0.42717086834733875,9263439.16666667,2762833.3333333344,2762833.333333332,0.5295630089117693,0.9999999999999992,175.24808775574436
70,10,6,120,4,0.7619411123227896,12293674.792927157,4350499.99999999,3229764.9876007093,0.6190616148561437,0.7423893776808912,132.05164666743752
71,10,6,120,4,0.8414565826330531,17450198.333333284,5202999.999999985,5203000.000000006,0.9972792430601217,1.000000000000004,93.030461258368
72,10,6,120,4,0.8096153846153848,5339207.499999997,1593166.6666666658,1593166.666666667,0.30536845039437815,1.0000000000000009,304.05261455000596
73,10,6,120,4,0.49487179487179483,8826730.000000002,2632666.666666668,2632666.6666666674,0.5046134577287998,0.9999999999999999,183.9186199192679
74,10,6,120,4,1.0,6286435.833333336,1875500.0000000007,1875499.9999999993,0.359484378312369,0.9999999999999993,258.23853818598576
75,10,6,120,4,0.9029487179487177,19875770.682495467,7038166.666666654,5217077.443872878,0.9999775214706079,0.7412551721148339,81.67733598525182
76,10,6,120,4,0.8431297709923652,17471147.85808321,5364333.333333324,5110392.967992477,0.979528893111532,0.9526613374745205,92.91890911729173
77,10,6,120,4,0.6648582333696835,12918144.221636375,4269833.33333333,3585948.5382965906,0.6873327011195407,0.8398333748303821,125.66820528919281
78,10,6,120,4,0.5082051282051291,8383870.000000013,2500666.6666666707,2500666.666666666,0.479312504416492,0.9999999999999981,193.63372762220757
79,10,6,120,4,0.6227735368956739,13338294.411431283,5499999.999999989,3006911.2142986767,0.5763463655092779,0.5467111298724878,121.70971414521348
80,10,6,150,4,1.0,22030617.953486532,6654485.307621816,6513287.851829736,0.9987417687803867,0.9787816113095391,88.64027346500069
81,10,6,150,4,0.8147985347985347,19676565.069347993,5866596.642627319,5866596.642627338,0.8995787136803287,1.000000000000003,99.24496440906027
82,10,6,150,4,1.0,21245262.49999998,6334166.66666666,6334166.666666662,0.9712754854891376,1.0000000000000002,91.9169626640293
83,10,6,150,4,1.0,19702002.31565573,5874178.5342242615,5874178.534224286,0.9007413141973795,1.0000000000000042,99.11682928025309
84,10,6,150,4,0.9384615384615385,12849374.999999994,3831666.6666666646,3831666.666666667,0.5875443602524745,1.0000000000000007,151.97626343693767
85,10,6,150,4,0.5732097419120318,22853979.196395837,7480737.1968537625,6388483.691542948,0.9796044097949457,0.8539911941071539,85.4468267087582
86,10,6,150,4,0.6799709196655763,19393861.66666667,5782333.333333336,5782333.333333333,0.886657852744643,0.9999999999999996,100.69165355326773
