int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
0,50,6,30,0,0.6059295584187456,23787055.661339823,16171833.333333246,1304298.6796844266,1.0,0.08065249330736159
1,50,6,30,0,0.5006510421595624,22700028.32800657,15339499.999999952,1304298.6796844266,1.0,0.08502876102118262
2,50,6,30,0,0.6545487380894623,24304231.661339827,16567833.333333245,1304298.6796844269,1.0000000000000002,0.07872475859956143
3,50,6,30,0,0.512575329917222,18878724.621817935,12415333.333333382,1303155.6638122203,0.999123654811578,0.10496340523644539
4,50,6,30,0,0.6478844377868214,35761648.685234204,25371499.999999806,1284693.1927286305,0.9849685602989803,0.05063528733928386
5,50,6,30,0,0.6215338379561064,24155835.28848441,16455999.999999952,1303155.6638122203,0.999123654811578,0.0791903052875683
6,50,6,30,0,0.6120157168862773,23323981.028346363,15819833.333333286,1302657.5703659486,0.9987417687803877,0.08234331822075365
7,50,6,30,0,0.5317317125123449,21948207.66133992,14763833.333333308,1304298.6796844266,1.0,0.08834417527185322
8,50,6,30,0,0.5942532101891546,27711900.018567316,19207833.333333142,1284693.1927286305,0.9849685602989803,0.06688381611991515
9,50,6,30,0,0.7008578957592116,26645941.955150962,18362666.666666508,1303155.6638122203,0.999123654811578,0.07096766975451449
10,50,6,60,0,0.48904939598591685,29069491.576968756,18173833.33333318,2606311.3276244393,0.9991236548115777,0.14341010395666634
11,50,6,60,0,0.5677734423192703,25978302.65601321,15803333.33333328,2608597.3593688523,0.9999999999999997,0.16506627458566936
12,50,6,60,0,0.495711417104226,27441541.826230668,16939999.999999896,2598227.6685688933,0.996024802078896,0.1533782567041859
13,50,6,60,0,0.5177220620402986,23002776.034680508,13674833.333333334,2513084.6110365987,0.9633854002078097,0.1837744234082023
14,50,6,60,0,0.6388618221677799,30479649.32267981,19249999.99999986,2608597.3593688523,0.9999999999999997,0.13551155113604527
15,50,6,60,0,0.5785521113643379,29364362.358109493,18397499.99999986,2607659.3581144633,0.9996404193038756,0.14173987542407845
16,50,6,60,0,0.6138626534311903,28479050.703801554,17779666.66666652,2569386.38545726,0.9849685602989798,0.14451262971506487
17,50,6,60,0,0.5551910662630882,32476523.32267969,20778999.99999979,2608597.3593688523,0.9999999999999996,0.12554008178299622
18,50,6,60,0,0.5208045295781767,25066166.24363558,15108499.999999966,2606311.3276244393,0.9991236548115777,0.17250629298900919
19,50,6,60,0,0.5095863226301394,26622378.322679866,16296499.999999924,2608597.359368853,0.9999999999999998,0.16007101889171693
20,50,6,90,0,0.565532522824845,30088951.28683231,17011499.999999896,3844704.2232793616,0.9825725459881072,0.22600618542041473
21,50,6,90,0,0.6040555450065993,29370251.859248564,16421166.66666663,3870217.1104190913,0.9890927517091624,0.23568466169186722
22,50,6,90,0,0.7822362351825617,35553777.91077169,21092499.999999765,3910609.8474567817,0.9994157290217575,0.18540286108601756
23,50,6,90,0,0.6255002092581413,30925427.317353033,17544999.999999866,3912896.039053284,1.0000000000000009,0.22302057788847615
24,50,6,90,0,0.5126502524905932,26929284.984020032,14485166.666666659,3912896.0390532804,1.0,0.2701312403990254
25,50,6,90,0,0.6049171209519968,28792076.317353237,15911499.999999946,3912896.0390532804,1.0,0.24591622656904086
26,50,6,90,0,0.37859123538794454,25598279.230846576,13480500.000000047,3903666.6166486875,0.997641280955978,0.28957877056850073
27,50,6,90,0,0.702592587824348,31421054.317353092,17924499.999999855,3912896.0390532804,1.0,0.21829875528206155
28,50,6,90,0,0.5150015075154636,29655632.389036004,16664999.999999952,3854079.578185891,0.98496856029898,0.23126790148130227
29,50,6,90,0,0.5608430420041105,36561687.98401953,21860666.66666639,3912896.03905328,0.9999999999999999,0.17899253022414668
30,50,6,120,0,0.6317672666574082,38796032.97869307,21525166.66666648,5217194.71873771,1.0000000000000007,0.24237650744033365
31,50,6,120,0,0.4250877222231835,30885364.82060481,15475166.66666666,5212622.655248884,0.9991236548115787,0.33683790084644555
32,50,6,120,0,0.5369266997314172,33324981.312026653,17335999.999999963,5217194.71873771,1.0000000000000007,0.30094570366507395
33,50,6,120,0,0.562932912587771,32422526.820604682,16652166.666666633,5212622.65524888,0.9991236548115779,0.3130296951497137
34,50,6,120,0,0.6719774013029038,38448854.645359844,21259333.333333194,5217194.71873771,1.0000000000000007,0.24540725887003723
35,50,6,120,0,0.6674457524056445,40572628.31202613,22885499.999999695,5217194.718737713,1.000000000000001,0.2279694443528777
36,50,6,120,0,0.689551064800557,38920538.31202639,21620499.999999817,5217194.71873771,1.0000000000000007,0.2413077735823757
