int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
0,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.887451705534283,29368246.661339696,20445.333333333107,1304.2986796844268,1.0000000000000002,0.06379444435654956
1,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7588699077443432,19066856.361679837,12560.166666666717,1302.657570365949,0.9987417687803878,0.1037133984713003
2,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6247733606512234,13661952.018567687,8449.833333333352,1284.6931927286305,0.9849685602989803,0.1520376961354616
3,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8157925407925392,20688788.32800661,13799.5,1304.2986796844268,1.0000000000000002,0.09451782163733663
4,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.5957262872873739,14810470.066021044,9491.166666666684,1181.4900273406586,0.9058431521425125,0.1244831187603199
5,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7077319532498795,24773520.994673174,16927.166666666562,1304.2986796844266,1.0,0.0770535734283805
6,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7245153701260563,20114148.328006662,13359.5,1304.2986796844266,1.0,0.09763080053029131
7,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7673506911439111,19608996.288484536,12974.500000000027,1303.1556638122204,0.999123654811578,0.10043975982212937
8,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.5075796976560338,14623941.994673464,9155.666666666695,1304.2986796844266,1.0,0.14245807838691038
9,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7307141979908016,22812614.288484428,15427.499999999958,1303.1556638122204,0.999123654811578,0.08446965897340616
10,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6770185750434136,24897682.221732676,16991.33333333326,1323.9958785096064,0.9819326291594326,0.07792183535780667
11,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7989853022295749,18550972.274125405,12136.666666666724,1320.8161415936129,0.9795743986840693,0.10882857524803131
12,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7347267689575396,18707028.614066716,12276.000000000035,1308.1694879127988,0.9701950931284888,0.10656317105838996
13,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8424457554972253,24620753.79615987,16787.833333333234,1318.5505756434425,0.9778941569506213,0.07854203395177758
14,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.5749621455728338,14285414.6372092,8906.333333333361,1298.003889967042,0.9626558458544784,0.14573942400168843
15,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7514223334665632,25410069.555066038,17383.66666666661,1323.9958785096064,0.9819326291594326,0.07616321135795732
16,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7572287882815956,20437137.991823748,13590.499999999998,1314.6957825722502,0.975035275622741,0.09673638074921823
17,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8774627408215189,21890399.555066064,14688.666666666659,1323.9958785096064,0.9819326291594326,0.09013724040141656
18,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7735682615084339,26799882.814232323,18518.499999999804,1278.9597271348546,0.9485318707096307,0.0690638943291772
19,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7328492436316862,25173844.796159875,17211.333333333238,1318.5505756434422,0.9778941569506211,0.07660943810145154
20,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7956937422846497,18213935.63716903,11858.000000000071,1333.9454874746648,0.9580081360375585,0.11249329460909568
21,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8383589692749981,21846688.56619329,14670.333333333314,1314.3484136294435,0.9439339805622903,0.08959226649901923
22,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6205343957281882,21469567.48916298,14369.666666666639,1321.9372811923463,0.9493841259669095,0.09199498581681428
23,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.5471055450063077,16331111.255850723,10451.833333333387,1311.3145872054533,0.9417551580955563,0.12546263850413292
24,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6550962065837634,16080584.637168998,10224.50000000004,1333.9454874746646,0.9580081360375584,0.13046559611469113
25,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.9821519447473657,25081432.899526615,17147.16666666661,1314.3484136294435,0.9439339805622903,0.07665105490485977
26,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7879650245265564,24612412.448792186,16741.999999999938,1343.6930773347863,0.965008624798484,0.08025881479720412
27,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6503546495912903,17436595.448792405,11247.500000000053,1343.6930773347863,0.965008624798484,0.1194659326370109
28,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.600470981904805,21899632.782125533,14664.833333333328,1343.6930773347863,0.965008624798484,0.09162689045231473
29,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6456836420576867,16558492.576108903,10587.500000000045,1335.8146621647084,0.9593505331426512,0.12616903538745716
30,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7273878157465946,21609574.342518512,14411.833333333378,1363.390276159966,0.9491227814517039,0.09460214010430978
31,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7644445691762703,17680417.144844558,11425.3333333334,1349.3403993058864,0.939341973687432,0.11810074681752934
32,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7610697833560796,25648758.47817759,17526.66666666659,1349.3403993058864,0.939341973687432,0.07698785085427305
33,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8567402063585274,22004639.342518315,14714.333333333301,1363.3902761599659,0.9491227814517038,0.09265729172190171
34,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7677350427350427,21445975.042341556,14312.833333333307,1346.6478163372526,0.9374675347383168,0.0940867391504539
35,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8404182755327783,22294353.67585175,14936.166666666666,1363.3902761599659,0.9491227814517038,0.09128113702712427
36,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8987081832501671,23407718.675851673,15788.666666666626,1363.3902761599659,0.9491227814517038,0.08635246439386708
37,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7094782207265364,24489540.874491964,16677.83333333326,1324.6252844438643,0.9221365711171498,0.07942430278376711
38,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8061551044375467,18841668.811511133,12314.500000000035,1349.3403993058864,0.939341973687432,0.10957329971219963
39,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7758569076485557,20995040.22692994,14019.50000000002,1313.5382594420087,0.914418349715847,0.09369365950583164
40,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7011305376258223,25013386.322679896,15064.49999999998,2608.5973593688523,0.9999999999999997,0.17316189447833358
41,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6734102436025509,19955224.037135478,11253.00000000009,2569.38638545726,0.9849685602989797,0.228329013192681
42,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8125344176288921,30338383.65601306,19141.833333333172,2608.5973593688523,0.9999999999999997,0.13627729977286437
43,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.680280363003757,22734085.576969124,13322.833333333352,2606.3113276244394,0.9991236548115777,0.1956274061541791
44,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7302378817763435,17921599.96899975,9705.666666666713,2563.1361488529037,0.9825725459881056,0.26408656271451986
45,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6456065729142648,16695472.322680213,8695.500000000022,2608.5973593688523,0.9999999999999997,0.2999939462214762
46,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6510769764586559,20282288.243636016,11445.500000000076,2606.3113276244394,0.9991236548115777,0.2277149384146103
47,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6672416800319277,31934073.703801528,20425.166666666493,2569.386385457261,0.9849685602989801,0.1257951245827753
48,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7525758904070514,28935450.144606702,18098.666666666526,2588.803389266501,0.9924120255541693,0.1430383484566002
49,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.8827582292725963,26311715.111203343,16140.666666666584,2556.3060572004115,0.97995424553328,0.1583767331295955
50,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.5481864472154095,18311961.39949347,9905.500000000053,2626.2787048120954,0.9900563345919643,0.2651333809310062
51,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7198890548407827,20845374.417978175,11852.500000000087,2621.706239455662,0.9883326034881234,0.22119436738710335
52,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7667025282409902,19807675.775092285,11062.333333333407,2618.9043964985017,0.9872763628221249,0.23674068730211992
53,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.5235473471048234,22616983.606845204,13211.000000000044,2620.4413243103336,0.9878557549152515,0.19835298798806486
54,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6236175513040771,25056140.216405995,15066.333333333301,2628.294558194033,0.9908162723726496,0.1744481885568733
55,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7657383702960722,24229017.259413924,14514.499999999978,2576.352818975508,0.9712352401505937,0.17750200275417768
56,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7908982194276313,31984785.84923554,20516.833333333067,2535.7092155048294,0.9559133868366028,0.12359164663998809
57,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6490909090909089,15426998.084644716,7703.666666666677,2621.7062394556615,0.9883326034881232,0.3403192730027681
58,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.5938564933793942,25479046.253193624,15482.499999999998,2569.432854983134,0.9686265474123688,0.16595723268097104
59,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6387129074629079,20128602.2164064,11293.333333333394,2628.294558194033,0.9908162723726496,0.23272974246109968
60,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6734257844551971,27839639.925653286,17183.833333333274,2637.1011512868836,0.9778941569506208,0.15346407871469656
61,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7075894392844857,27962529.061850242,17363.499999999887,2582.5596527658527,0.9576689893687782,0.1487349700674328
62,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.5706974178448657,22608787.44346575,13161.500000000044,2647.9917570192124,0.9819326291594324,0.20119224685782044
63,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.6297206639514339,17867812.961798742,9672.666666666692,2557.919454269708,0.9485318707096303,0.2644482170655835
64,date ('2024-01-01 23:55:00'),30,30,6,10,true,false,0.7616203454665014,24100457.11013244,14303.666666666724,2647.991757019212,0.9819326291594322,0.18512678033738678
