int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
24,10,12,0,0,1.0,4833275.333333329,3706999.9999999967,0.0,0.0,0.0
25,10,12,0,0,1.0,11144738.000000022,8539666.666666685,0.0,0.0,0.0
26,10,12,0,0,0.9662087912087912,8156609.999999985,6251666.666666653,0.0,0.0,0.0
27,10,12,0,0,1.0,5338479.666666659,4093833.3333333265,0.0,0.0,0.0
28,10,12,0,0,1.0,10527000.000000035,8066666.666666691,0.0,0.0,0.0
29,10,12,0,0,0.6868644067796611,5534814.999999987,4244166.666666657,0.0,0.0,0.0
30,10,15,0,0,1.0,5725261.666666656,4390833.333333324,0.0,0.0,0.0
31,10,15,0,0,0.9425505050505047,5543292.333333332,4251499.999999998,0.0,0.0,0.0
32,10,15,0,0,0.9791208791208789,10209848.000000026,7824666.666666687,0.0,0.0,0.0
33,10,15,0,0,1.0,9841120.666666683,7542333.333333347,0.0,0.0,0.0
34,10,15,0,0,1.0,8813951.666666664,6755833.33333333,0.0,0.0,0.0
35,10,15,0,0,1.0,6522574.666666647,5001333.333333317,0.0,0.0,0.0
36,10,15,0,0,0.8515406162465,3572756.000000007,2742666.666666672,0.0,0.0,0.0
37,10,15,0,0,0.9507633587786259,5837795.333333319,4476999.999999989,0.0,0.0,0.0
38,10,15,0,0,0.9371794871794867,5284704.333333326,4053499.9999999935,0.0,0.0,0.0
39,10,15,0,0,1.0,8392548.999999989,6433166.666666657,0.0,0.0,0.0
40,10,18,0,0,1.0,9497631.000000011,7280166.6666666735,0.0,0.0,0.0
41,10,18,0,0,0.9033613445378147,4651500.33333333,3569499.9999999986,0.0,0.0,0.0
42,10,18,0,0,0.7420392584514703,12421112.000000075,9518666.666666722,0.0,0.0,0.0
43,10,18,0,0,0.9511599511599511,12899978.666666701,9885333.333333362,0.0,0.0,0.0
44,10,18,0,0,1.0,10261423.33333336,7865000.0000000205,0.0,0.0,0.0
45,10,18,0,0,1.0,7048227.999999972,5404666.666666646,0.0,0.0,0.0
46,10,18,0,0,0.8555128205128208,5968383.66666665,4577833.333333321,0.0,0.0,0.0
47,10,18,0,0,0.8532012805122041,7206253.999999969,5525666.666666645,0.0,0.0,0.0
48,10,18,0,0,0.9318131868131869,6442461.6666666465,4940833.333333317,0.0,0.0,0.0
49,10,18,0,0,1.0,8475250.666666664,6497333.333333332,0.0,0.0,0.0
50,10,21,0,0,0.913827838827839,7758244.999999974,5949166.6666666465,0.0,0.0,0.0
51,10,21,0,0,1.0,9391180.333333341,7199500.0000000065,0.0,0.0,0.0
52,10,21,0,0,0.8875641025641013,6494036.99999998,4981166.66666665,0.0,0.0,0.0
53,10,21,0,0,1.0,12673811.333333367,9713000.000000028,0.0,0.0,0.0
54,10,21,0,0,1.0,6494036.99999998,4981166.66666665,0.0,0.0,0.0
55,10,21,0,0,1.0,9470193.333333345,7260000.000000007,0.0,0.0,0.0
56,10,21,0,0,1.0,7705569.666666638,5908833.3333333125,0.0,0.0,0.0
57,10,21,0,0,1.0,8653725.66666666,6634833.333333327,0.0,0.0,0.0
58,10,21,0,0,1.0,8723161.333333347,6688000.00000001,0.0,0.0,0.0
59,10,21,0,0,0.9666666666666666,6757413.666666642,5182833.333333315,0.0,0.0,0.0
60,10,24,0,0,1.0,7546443.666666635,5787833.33333331,0.0,0.0,0.0
61,10,24,0,0,1.0,6119420.999999982,4695166.666666654,0.0,0.0,0.0
62,10,24,0,0,1.0,8441924.333333325,6473499.999999991,0.0,0.0,0.0
63,10,24,0,0,0.8705128205128198,8916002.333333332,6836499.999999999,0.0,0.0,0.0
64,10,24,0,0,1.0,11339067.66666672,8691833.333333371,0.0,0.0,0.0
65,10,24,0,0,0.9490995115995111,7362079.999999969,5646666.666666644,0.0,0.0,0.0
66,10,24,0,0,1.0,10807525.666666716,8284833.33333337,0.0,0.0,0.0
67,10,24,0,0,0.9014652014652007,7362079.999999969,5646666.666666644,0.0,0.0,0.0
68,10,24,0,0,1.0,7098703.333333305,5444999.999999979,0.0,0.0,0.0
69,10,24,0,0,0.9320879120879128,3605371.0000000075,2770166.666666672,0.0,0.0,0.0
70,10,27,0,0,1.0,12451332.666666716,9544333.333333373,0.0,0.0,0.0
71,10,27,0,0,1.0,11443318.333333386,8772500.00000004,0.0,0.0,0.0
72,10,27,0,0,1.0,7387317.666666635,5666833.33333331,0.0,0.0,0.0
73,10,27,0,0,1.0,9626019.333333349,7381000.00000001,0.0,0.0,0.0
74,10,27,0,0,1.0,7387317.666666635,5666833.33333331,0.0,0.0,0.0
75,10,27,0,0,1.0,11249377.333333386,8624000.000000037,0.0,0.0,0.0
76,10,27,0,0,1.0,10705863.6666667,8207833.333333361,0.0,0.0,0.0
77,10,27,0,0,1.0,8440824.333333325,6473499.999999991,0.0,0.0,0.0
78,10,27,0,0,1.0,10784876.666666701,8268333.333333362,0.0,0.0,0.0
79,10,27,0,0,0.9363247863247866,6149447.333333316,4718999.999999987,0.0,0.0,0.0
80,10,30,0,0,1.0,12251503.000000056,9392166.666666705,0.0,0.0,0.0
81,10,30,0,0,1.0,11547569.000000056,8853166.666666709,0.0,0.0,0.0
82,10,30,0,0,1.0,9335205.000000007,7159166.666666673,0.0,0.0,0.0
83,10,30,0,0,1.0,9715904.000000022,7450666.666666683,0.0,0.0,0.0
84,10,30,0,0,1.0,8492399.666666655,6513833.333333326,0.0,0.0,0.0
85,10,30,0,0,1.0,6938477.333333307,5323999.99999998,0.0,0.0,0.0
86,10,30,0,0,1.0,12522062.666666742,9599333.33333339,0.0,0.0,0.0
87,10,30,0,0,1.0,7517905.999999969,5767666.666666643,0.0,0.0,0.0
88,10,30,0,0,1.0,10046322.000000026,7703666.666666684,0.0,0.0,0.0
89,10,30,0,0,1.0,7675931.999999972,5888666.666666646,0.0,0.0,0.0
