int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
38,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14924539.478177777,9315.166666666672,1349.3403993058864,0.9393419736874321,0.14485413386476026
39,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9607415485278091,11517563.155487692,6715.499999999991,1343.5758038820666,0.9353289563304287,0.20007085159438143
40,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9116300366300354,10973586.285468517,4979.333333333334,2184.696739288361,0.8374986394285646,0.43875285967767325
41,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12013061.049874682,5182.833333333326,2562.297405177181,0.9822510154641595,0.4943815940786285
42,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,10926618.23278042,4718.999999999993,2327.7066371142546,0.8923211659147888,0.4932626906366303
43,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8128571428571416,10858108.650420642,4819.833333333328,2230.001456200097,0.8548661019650968,0.46267190211281845
44,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13484132.112787502,6372.666666666654,2521.8624269338898,0.9667503564229823,0.39573110580613474
45,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.7785714285714279,11502055.484010654,5202.999999999992,2300.050830003588,0.8817193737250743,0.44206243129033085
46,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16705785.18394101,8869.666666666688,2502.619416271807,0.9593735910540492,0.28215484418111925
47,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,11950255.357812954,5283.666666666659,2467.375967697895,0.945863093373242,0.46698176159823956
48,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14898392.037135294,7381.000000000004,2569.38638545726,0.9849685602989797,0.3481081676544179
49,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13082527.910302442,5932.666666666657,2606.3113276244385,0.9991236548115772,0.43931531536539653
50,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8627838827838811,11103145.618933255,4799.66666666666,2362.4439331055537,0.8905957226869625,0.492210000647036
51,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14765964.606845235,7199.500000000004,2620.441324310333,0.9878557549152513,0.363975460005602
52,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12787490.441758707,5686.9999999999845,2618.9043964985017,0.9872763628221249,0.46050719122534006
53,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15212196.005061734,7535.000000000007,2624.379049159763,0.9893402011105142,0.34829184461310686
54,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16889069.216406394,8812.833333333369,2628.294558194033,0.9908162723726496,0.2982349102476338
55,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,10737976.655776747,4174.499999999994,2582.6970826956713,0.9736269050081585,0.618684173600593
56,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16619394.043877741,8653.33333333335,2598.344254373357,0.9795255864426748,0.3002709076702641
57,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.7821701199563784,15891257.295229668,8226.16666666669,2515.251486202808,0.948201218112955,0.3057622812816177
58,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8697985347985342,10998674.59745281,4940.833333333328,2221.4802004812896,0.8374551187683217,0.4496165020370299
59,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15189042.322443506,7582.666666666682,2582.697082695671,0.9736269050081583,0.3406053828067081
60,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15428181.77679907,7663.333333333338,2647.991757019212,0.9819326291594322,0.3455404641608365
61,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,10580886.607751595,4033.3333333333303,2596.0077799340816,0.9626558458544775,0.6436382925456406
62,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13798105.352422854,6453.333333333324,2623.6792024188444,0.9729170079449633,0.4065618598789537
63,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9560262089331849,11003453.776799038,4275.333333333334,2647.991757019212,0.9819326291594321,0.6193649829298015
64,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15648460.443465702,7831.999999999997,2647.991757019213,0.9819326291594325,0.3380990496704818
65,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14946514.92594803,7309.499999999997,2638.445384389796,0.9783926276658134,0.3609611306368147
66,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9783260632497277,11623376.561466616,4799.666666666658,2616.338975825596,0.9701950931284883,0.5451084747188557
67,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16301347.592320256,8349.000000000018,2637.101151286882,0.9778941569506203,0.315858324504357
68,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14826438.258986847,7219.666666666668,2637.1011512868836,0.9778941569506207,0.3652663305720785
69,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,17788994.443465844,9471.000000000035,2647.991757019212,0.9819326291594322,0.2795894580318026
70,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15858813.766662385,7986.000000000015,2652.496063118106,0.9677913106228131,0.3321432585922992
71,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,18145406.00385865,9713.000000000044,2667.688955844392,0.9733345986103695,0.2746513904915453
72,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13282515.00385844,5989.499999999985,2667.688955844392,0.9733345986103695,0.44539426593946047
73,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12355904.099995615,5303.833333333319,2652.4960631181048,0.9677913106228125,0.5001092410743384
74,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14436579.766662301,6896.999999999991,2652.496063118105,0.9677913106228128,0.3845869310016107
75,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14987280.337191839,7294.833333333334,2667.6889558443904,0.9733345986103691,0.3656956689681359
76,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12228315.020138072,5477.999999999987,2479.216050173151,0.9045682607700641,0.4525768620250377
77,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13979381.55972642,6614.666666666659,2609.318477172494,0.9520375106180314,0.39447467403333464
78,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16780632.099995796,8691.83333333336,2652.496063118106,0.967791310622813,0.3051710682193743
79,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8752838827838822,14665137.040482966,7074.83333333333,2650.693691467206,0.967133696217081,0.3746651781856638
80,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9945054945054944,15687091.722369498,5969.333333333317,3854.079578185891,0.98496856029898,0.6456465677103923
81,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,18248848.216910623,7885.166666666673,3883.205083899754,0.9924120255541697,0.4924696265857518
82,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,11178745.472248485,3562.1666666666633,3188.1027194965836,0.8147680612204409,0.8949897682580602
83,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13559419.637967471,5072.83333333332,3387.0990587119795,0.8656245974609341,0.6676937396021924
84,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13761551.154484008,5844.666666666651,2993.793633227953,0.7651094236463019,0.5122265826214145
85,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15905931.198786989,6049.999999999983,3909.4669914366614,0.9991236548115782,0.6461928911465574
86,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,17247742.192582045,7138.999999999999,3870.217110419091,0.9890927517091624,0.5421231419553287
87,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,13850641.390403457,5364.333333333317,3343.430319051659,0.8544643879321151,0.6232704254741197
88,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16003143.722369503,6211.333333333318,3854.0795781858924,0.9849685602989803,0.6204915066307667
89,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,17440541.984020136,7219.66666666666,3912.8960390532798,0.9999999999999999,0.541977382019477
