int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
25,10,6,90,0,0.7933333333333346,9398757.500000015,2803166.6666666716,2803166.6666666665,0.7163918076762624,0.9999999999999982
26,10,6,90,0,0.903562340966921,15344702.055702839,5707166.666666652,3854079.578185891,0.98496856029898,0.6753052439656398
27,10,6,90,0,0.8901098901098905,17442688.72217173,7401166.66666667,3798258.5271701887,0.9707026430707757,0.5131972698678389
28,10,6,90,0,1.0,9398757.500000013,2803166.6666666707,2803166.666666666,0.7163918076762622,0.9999999999999983
29,10,6,90,0,0.6758269720101785,15824366.98402011,5982166.666666649,3912896.0390532804,1.0,0.6540934509324868
30,10,6,120,0,0.7200533139464448,15917011.59519367,6570666.666666656,3583010.0513390508,0.6867694698974078,0.5453038836250593
31,10,6,120,0,0.8190839694656489,18164062.64536016,5727333.333333315,5217194.71873771,1.0000000000000007,0.9109291209529263
32,10,6,120,0,0.7756410256410267,11792489.524749897,3800499.9999999944,3335726.3013258073,0.6393716319127306,0.8777072230827029
33,10,6,120,0,0.5362545018007197,17674805.46842451,5532999.999999985,5102281.178668247,0.9779740749072016,0.9221545596725575
34,10,6,120,0,0.6639743589743587,8451529.16666668,2520833.333333337,2520833.333333331,0.4831779278392053,0.9999999999999974
35,10,6,120,0,0.9651860744297721,14390037.68969078,5525666.666666648,3503847.5791560966,0.671596091012652,0.6341040440048455
36,10,6,120,0,1.0,19009471.487271562,6381833.333333315,5212622.655248887,0.9991236548115792,0.8167907845575568
37,10,6,120,0,0.8112637362637345,16883605.973513566,6445999.999999994,4134210.1709030047,0.7924201402824527,0.6413605601773205
38,10,6,120,0,0.7348717948717957,13575173.333333328,4047999.999999998,4047999.9999999995,0.7758959015774299,1.0000000000000002
39,10,6,120,0,0.7440567066521275,13970338.530866515,4880333.333333319,3710341.5637871614,0.711175596046159,0.7602639636200749
40,10,6,150,0,0.5687022900763354,6151117.500000001,1835166.666666667,1835166.666666666,0.2814028251735534,0.9999999999999994
41,10,6,150,0,0.7044372294372286,13778530.399507208,4728166.666666652,3713719.570281726,0.5694584573497009,0.7854459946311263
42,10,6,150,0,0.6875457875457872,17720834.99999997,5283666.666666659,5283666.666666666,0.8101927494007803,1.0000000000000016
43,10,6,150,0,0.9030219780219765,22742788.56650664,8053833.333333361,5968935.529448449,0.9152712676045376,0.7411297555344364
44,10,6,150,0,1.0,16441461.666666625,4902333.33333332,4902333.33333334,0.751719435079004,1.000000000000004
45,10,6,150,0,0.8711538461538462,12966240.833333308,3866499.9999999925,3866500.000000003,0.5928856726184063,1.0000000000000027
46,10,6,150,0,1.0,20519464.166666623,6117833.33333332,6117833.333333336,0.9381031244796687,1.0000000000000024
47,10,6,150,0,0.9197201017811701,15437885.798028737,5171833.333333314,4240770.195881964,0.6502759317226348,0.8199742572038244
48,10,6,150,0,0.6583787713558701,25725799.306700457,9471000.000000054,6521493.398422125,0.9999999999999988,0.68857495495957
49,10,6,150,0,0.9946595460614152,15488183.894970901,5021499.999999983,4361137.902214561,0.6687330088028202,0.8684930602836952
50,10,6,180,0,0.9278754578754588,10241099.680587402,3155166.666666665,2989906.627909911,0.38205802020660307,0.947622405972187
51,10,6,180,0,1.0,21306770.833333306,6352499.999999991,6352500.000000001,0.8117389187698658,1.0000000000000016
52,10,6,180,0,0.8333333333333337,6557072.500000003,1956166.6666666677,1956166.6666666658,0.249964048002149,0.999999999999999
53,10,6,180,0,1.0,15555741.666666638,4638333.333333325,4638333.333333336,0.5926982581494261,1.0000000000000024
54,10,6,180,0,0.8046153846153828,15014468.333333312,4476999.999999993,4477000.000000001,0.5720826665616198,1.0000000000000018
55,10,6,180,0,0.4607692307692308,16687494.999999939,4975666.666666648,4975666.666666674,0.6358035860148396,1.0000000000000053
56,10,6,180,0,0.5863201260147821,20087553.043571144,6029833.333333313,5963131.955541499,0.761984460617598,0.9889381058970428
57,10,6,180,0,0.7033078880407119,26628894.968040355,8116166.666666668,7825792.078106561,1.0,0.9642226927457411
58,10,6,180,0,1.0,11496191.666666668,3428333.3333333335,3428333.333333333,0.43808132124087984,0.9999999999999998
59,10,6,180,0,1.0,20273430.83333326,6044499.999999979,6044500.0,0.7723818802840541,1.0000000000000036
60,10,6,210,0,0.48841807909604507,11932900.833333334,3558500.0,3558500.0,0.38975516173959407,1.0
61,10,6,210,0,0.9465648854961825,21642072.179289185,6526666.666666647,6405130.394967915,0.7015407146420991,0.9813785079113279
62,10,6,210,0,0.7713922210105411,21587050.783906985,6460666.666666664,6420344.94090141,0.7032071324617152,0.9937588908628746
63,10,6,210,0,0.9928113553113554,34540204.29604729,12127500.00000007,9130090.757790985,0.9999999999999996,0.7528419507557973
64,10,6,210,0,0.9801526717557251,23521070.833333306,7012499.999999993,7012500.000000003,0.7680646541236208,1.0000000000000016
65,10,6,210,0,0.8323155216284982,18126789.999999933,5404666.666666647,5404666.666666673,0.5919619870212903,1.0000000000000047
66,10,6,210,0,0.9492307692307693,11157895.833333336,3327500.0000000014,3327499.9999999986,0.36445420842728643,0.9999999999999992
67,10,6,210,0,0.5494350282485875,5136229.999999996,1532666.6666666656,1532666.6666666656,0.16786981721499247,1.0
68,10,6,210,0,0.7815567765567762,16441461.66666663,4902333.333333322,4902333.3333333405,0.5369424536278599,1.0000000000000038
69,10,6,210,0,0.7983333333333337,18778778.333333254,5598999.999999976,5599000.000000001,0.6132469159983105,1.0000000000000047
70,10,9,30,0,1.0,9296329.632504366,5081999.999999997,1301222.205549562,0.9976412809559777,0.25604529821911903
71,10,9,30,0,0.8157215557978924,7682652.678619599,3851833.333333333,1297767.2093474541,0.9949923507255617,0.3369219530130555
72,10,9,30,0,1.0,7762953.845647984,4328499.999999997,1033137.8781428302,0.792102218789945,0.23868265638046224
73,10,9,30,0,1.0,7414036.351900956,3666666.6666666646,1284693.1927286305,0.9849685602989801,0.3503708707441721
74,10,9,30,0,1.0,11854460.946505068,7054666.6666666595,1292353.8050293133,0.990841917697867,0.1831913350542404
75,10,9,30,0,1.0,4632991.2453413,2359500.0000000005,760590.9770658676,0.5831417212274504,0.3223526073599777
76,10,9,30,0,1.0,12432026.99467343,7478166.666666674,1304298.6796844266,1.0,0.17441422982697524
77,10,9,30,0,0.7158974358974354,10851872.45658689,6271833.333333319,1302013.0746316514,0.998247636765738,0.20759688681645255
