int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
53,date ('2023-11-01 23:55:00'),10,30,6,16,true,true,1.0,4962.833333333334,-1585206.3333333342
54,date ('2023-11-01 23:55:00'),10,30,6,16,true,true,1.0,3186.333333333333,-3905315.333333334
55,date ('2023-11-01 23:55:00'),10,30,6,16,true,true,1.0,8050.166666666667,2446851.0
56,date ('2023-11-01 23:55:00'),10,30,6,16,true,true,1.0,5727.333333333334,-586769.3333333316
57,date ('2023-11-01 23:55:00'),10,30,6,16,true,true,1.0,5001.333333333334,-1534925.3333333316
58,date ('2023-11-01 23:55:00'),10,30,6,16,true,true,1.0,5545.833333333333,-823808.3333333342
59,date ('2023-11-01 23:55:00'),10,30,6,16,true,true,0.739875950380151,7320.5,1493906.3333333316
60,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,6962.999999999999,293677.99999999744
61,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,6466.166666666666,-355186.3333333342
62,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,6715.499999999999,-29557.00000000256
63,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,5586.166666666666,-1504466.3333333342
64,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,3811.5,-3822181.0
65,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,3125.8333333333335,-4717661.666666666
66,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,8664.333333333332,2515619.3333333265
67,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,6829.166666666666,118891.66666666581
68,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,3602.5,-4095135.0
69,date ('2023-11-01 23:55:00'),10,30,6,18,true,true,1.0,5280.000000000001,-1904319.9999999974
70,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,4940.833333333334,-3080604.999999997
71,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,5747.5,-2027098.3333333316
72,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,5303.833333333333,-2606527.0
73,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,3243.166666666667,-5297757.666666666
74,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,6937.333333333334,-473176.0
75,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,7461.666666666666,211603.33333333163
76,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,3246.833333333333,-5292969.0
77,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,5883.166666666666,-1849917.6666666684
78,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,1.0,4900.500000000001,-3133280.3333333316
79,date ('2023-11-01 23:55:00'),10,30,6,20,true,true,0.7092345349354697,4517.333333333333,-3633696.0
80,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,1.0,6534.0,-1733262.6666666684
81,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,1.0,7267.333333333334,-775529.3333333316
82,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,0.6058796801163212,5223.166666666666,-3445211.000000003
83,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,1.0,4456.833333333333,-4446042.333333334
84,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,1.0,5424.833333333333,-3181834.333333334
85,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,1.0,7502.0,-469054.6666666684
86,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,1.0,2803.166666666667,-6605731.000000001
87,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,1.0,6743.0,-1460308.6666666684
88,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,1.0,4698.833333333333,-4129990.333333334
89,date ('2023-11-01 23:55:00'),10,30,6,22,true,true,0.5131100726895116,4718.999999999999,-4103652.6666666684
90,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,0.7677132391418097,4376.166666666667,-5284726.333333332
91,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,1.0,4335.833333333334,-5337401.666666666
92,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,1.0,5182.833333333334,-4231219.666666666
93,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,1.0,7300.333333333334,-1465764.6666666633
94,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,0.3681388585968747,5203.000000000001,-4204881.999999997
95,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,1.0,4335.833333333333,-5337401.666666668
96,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,1.0,4013.166666666667,-5758804.333333332
97,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,1.0,5545.833333333334,-3757141.666666666
98,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,1.0,7494.666666666667,-1211965.3333333316
99,date ('2023-11-01 23:55:00'),10,30,6,24,true,true,1.0,5122.333333333334,-4310232.666666666
100,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,6832.833333333333,-2809653.000000005
101,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,3589.666666666667,-7045228.666666668
102,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,6655.0,-3041903.3333333367
103,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,5155.333333333333,-5000468.0
104,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,3448.5,-7229592.333333334
105,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,4255.166666666667,-6176085.666666668
106,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,3972.833333333334,-6544813.0
107,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,4577.833333333334,-5754683.0
108,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,7764.166666666667,-1593331.6666666684
109,date ('2023-11-01 23:55:00'),10,30,6,26,true,true,1.0,5545.833333333333,-4490475.0
110,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,4893.166666666666,-6076191.0
111,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,0.8416353383458638,4759.333333333333,-6250977.333333332
112,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,7380.999999999999,-2827080.6666666684
113,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,7051.0,-3258060.6666666633
114,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,3589.666666666667,-7778562.0
115,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,5839.166666666666,-4840715.0
116,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,4658.5,-6382665.666666666
117,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,4638.333333333334,-6409003.333333332
118,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,3325.6666666666665,-8123346.0
119,date ('2023-11-01 23:55:00'),10,30,6,28,true,true,1.0,6163.666666666666,-4416918.0
120,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,4748.333333333334,-6998676.666666666
121,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,3831.666666666667,-8195843.333333332
122,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,6009.666666666666,-5351375.333333337
123,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,5162.666666666667,-6457557.333333332
124,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,1694.0,-10987636.0
125,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,0.7114205004035509,5344.166666666666,-6220518.333333337
126,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,4739.166666666667,-7010648.333333332
127,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,4154.333333333334,-7774440.666666666
128,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,7582.666666666666,-3297037.3333333367
129,date ('2023-11-01 23:55:00'),10,30,6,30,true,true,1.0,7645.0,-3215630.0
130,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,5780.5,2415999.666666666
131,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,2355.8333333333335,-2056615.0
132,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,6655.0,3558096.666666666
133,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,5666.833333333333,2267550.999999997
134,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,6574.333333333334,3452746.0
135,date ('2023-11-01 23:55:00'),10,30,8,6,true,true,1.0,4698.833333333334,1003343.0
