nb_electrical,nb_gasoline,nb_activeCS_Cparking,nb_activeCS_Jparking,policy_prohibit_parking,policy_force_moving,avg_statisfied_day,monthly_energy_consumption,monthly_profit
20,39,18,22,false,true,0.6777216232404908,9439.833333333334,-2338244.3333333316
12,39,18,22,false,true,0.44256410256410245,4739.166666666666,-8477314.999999998
20,75,18,22,false,true,0.47034549420045585,5061.833333333333,-8055912.333333332
20,39,18,22,false,true,0.6777216232404908,9439.833333333334,-2338244.3333333316
20,39,18,7,false,true,0.9219439290867862,10792.833333333336,4928773.666666668
20,39,18,22,false,true,0.6777216232404908,9439.833333333334,-2338244.3333333316
20,39,18,22,false,false,0.8835968738640508,8290.333333333334,-3839491.3333333316
20,75,18,7,false,false,0.9056962757344446,13057.0,7885775.333333332
12,39,18,7,false,false,0.9525641025641026,5866.666666666667,-1504800.0
12,75,18,7,false,false,0.38473520249221166,1431.8333333333333,-7296692.333333336
12,75,18,22,false,false,0.5534563189143338,4698.833333333334,-8529990.333333328
12,75,18,7,false,false,0.38473520249221166,1431.8333333333333,-7296692.333333336
12,75,18,7,false,true,0.3525641025641024,927.6666666666666,-7955134.0
12,75,18,7,false,false,0.38473520249221166,1431.8333333333333,-7296692.333333336
45,61,6,10,true,false,0.7299424481674435,15950.0,1.4964033333333332E7
37,61,6,10,true,false,0.6003297367715518,10204.333333333334,7460192.666666668
45,52,6,10,true,false,0.677175394189899,13854.499999999998,1.2227310333333327E7
45,61,6,10,true,false,0.7299424481674435,15950.0,1.4964033333333332E7
45,61,6,19,true,false,0.6496228123758824,14692.333333333334,1.0021520666666668E7
45,61,6,10,true,false,0.7299424481674435,15950.0,1.4964033333333332E7
45,61,6,10,true,true,0.4535078221744539,14846.333333333334,1.3522644666666668E7
45,52,6,19,true,true,0.46116956911245865,18313.166666666664,1.4750329E7
37,61,6,19,true,true,0.6072786310381734,11922.166666666666,6403682.999999994
37,52,6,19,true,true,0.5212145476103601,8381.999999999998,1780225.3333333316
37,52,6,10,true,true,0.6001451474733913,10393.166666666668,7706809.000000006
37,52,6,19,true,true,0.5212145476103601,8381.999999999998,1780225.3333333316
37,52,6,19,true,false,0.6689607254492754,11335.5,5637496.333333332
37,52,6,19,true,true,0.5212145476103601,8381.999999999998,1780225.3333333316
58,50,24,28,true,false,0.8195769091299436,29313.166666666668,1.921632900000001E7
24,50,24,28,true,false,1.0,13387.0,-1583244.6666666633
58,41,24,28,true,false,0.9234889744436813,27351.500000000004,1.6654392333333347E7
58,50,12,28,true,false,0.6202094547436783,21899.166666666664,1.3933645E7
58,50,24,25,true,false,0.868426061105916,22561.0,1.1497999333333336E7
58,50,24,28,true,false,0.8195769091299436,29313.166666666668,1.921632900000001E7
58,50,24,28,true,true,0.7255580412026871,26854.666666666668,1.6005528000000011E7
58,41,12,25,true,true,0.7887854630300153,31454.500000000004,2.7512910333333347E7
24,50,12,25,true,true,1.0,8671.666666666668,-2241469.999999995
24,41,24,25,true,true,1.0,15000.333333333332,1623768.6666666633
24,41,12,28,true,true,1.0,11454.666666666666,293128.0
24,41,12,25,true,true,1.0,7078.5,-4322145.666666663
24,41,12,25,true,false,1.0,11286.0,1172849.3333333367
24,41,12,25,true,true,1.0,7078.5,-4322145.666666663
33,73,12,16,false,true,0.29445054521390396,7989.666666666666,167838.0
49,73,12,16,false,true,0.4186081780388032,16905.166666666668,1.1811481E7
33,64,12,16,false,true,0.7854064086888517,12083.5,5514384.333333332
33,73,24,16,false,true,0.5401137454572569,10719.500000000002,-666999.6666666633
33,73,12,13,false,true,0.5715177739986897,10948.666666666668,5132292.0
33,73,12,16,false,true,0.29445054521390396,7989.666666666666,167838.0
33,73,12,16,false,false,0.514500329496903,12607.833333333332,6199163.666666663
33,64,24,13,false,false,0.7801502011060829,10824.0,569477.3333333367
49,73,24,13,false,false,0.6265378677648158,12325.500000000002,2530436.3333333367
49,64,12,13,false,false,0.619559108915002,18012.5,1.4357658333333332E7
49,64,24,16,false,false,0.7562218038601103,20208.833333333336,1.1726069666666673E7
49,64,24,13,false,false,0.6479153577921516,24720.66666666667,1.8718524000000022E7
49,64,24,13,false,true,0.5095761625954706,11892.833333333332,1965373.6666666633
