int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
70,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.817230098146126
71,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
72,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
73,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
74,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.8231135531135543
75,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
76,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
77,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.983369683751363
78,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.651690294438387
79,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
80,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.7943589743589751
81,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
82,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.8801799345692481
83,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
84,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.8297985347985335
85,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
86,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,1.0
87,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.8243697478991597
88,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.8124725274725286
89,date ('2023-11-01 23:55:00'),10,30,7,10,false,false,0.7015903307888041
90,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
91,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
92,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
93,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.7917948717948714
94,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.7524718284260254
95,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.9234615384615391
96,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.8300254452926199
97,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.9526717557251901
98,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,1.0
99,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.7115384615384606
100,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.7416666666666669
101,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.6239743589743572
102,date ('2023-11-01 23:55:00'),10,30,7,12,false,false,0.8740112994350272
