int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
52,date ('2023-11-01 23:55:00'),10,30,6,16,true,false,0.9539258451472191,8550.666666666666,3100504.0
53,date ('2023-11-01 23:55:00'),10,30,6,16,true,false,1.0,5157.166666666667,-1331407.0
54,date ('2023-11-01 23:55:00'),10,30,6,16,true,false,1.0,6150.833333333333,-33678.33333333675
55,date ('2023-11-01 23:55:00'),10,30,6,16,true,false,1.0,3125.833333333333,-3984328.333333334
56,date ('2023-11-01 23:55:00'),10,30,6,16,true,false,1.0,6961.166666666667,1024617.0
57,date ('2023-11-01 23:55:00'),10,30,6,16,true,false,1.0,4849.166666666666,-1733655.0000000026
58,date ('2023-11-01 23:55:00'),10,30,6,16,true,false,1.0,4537.5,-2140691.6666666684
59,date ('2023-11-01 23:55:00'),10,30,6,16,true,false,1.0,2097.333333333333,-5327549.333333336
60,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,4097.5,-3448665.0
61,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,6312.166666666667,-556310.3333333316
62,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,3993.0,-3585142.0
63,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,6022.5,-934615.0
64,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,4678.666666666666,-2689661.3333333367
65,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,7393.833333333333,856346.3333333316
66,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,4154.333333333334,-3374440.666666666
67,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,4799.666666666667,-2531635.3333333316
68,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,2531.833333333333,-5493425.666666667
69,date ('2023-11-01 23:55:00'),10,30,6,18,true,false,1.0,3972.833333333333,-3611479.6666666684
70,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,1.0,5798.833333333334,-1960057.0
71,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,1.0,5586.166666666667,-2237799.666666666
72,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,0.9224978795589475,7474.500000000001,228363.66666666837
73,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,1.0,2838.0,-5826905.333333332
74,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,1.0,7938.333333333333,834130.0
75,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,0.9662087912087912,6022.5,-1667948.3333333316
76,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,1.0,2662.0,-6056761.333333332
77,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,1.0,5538.499999999999,-2300052.333333334
78,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,1.0,5890.5,-1840340.3333333316
79,date ('2023-11-01 23:55:00'),10,30,6,20,true,false,1.0,2742.666666666667,-5951410.666666664
80,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,1.0,5061.833333333333,-3655912.333333334
81,date ('2023-11-01 23:55:00'),10,30,6,22,true,false,1.0,5126.0,-3572110.6666666684
