int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
49,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.6986005089058525,2399.833333333333,-4199150.999999999
50,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0,5404.666666666666,-1008172.0000000026
51,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0,4949.999999999999,-1601966.6666666684
52,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.6627289377289374,6453.333333333334,361386.6666666684
53,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9668079096045195,4005.8333333333335,-2835048.333333334
54,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9795865633074936,4959.166666666667,-1589995.0
55,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8671912832929775,2500.6666666666665,-4800796.0
56,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8960378044347493,5237.833333333334,-1226056.3333333342
57,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.6776923076923081,4918.833333333334,-1642670.3333333342
58,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.641984732824428,3045.1666666666665,-4089679.000000003
59,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9166666666666677,4062.6666666666665,-2760824.000000003
60,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.9181933842239168,4904.166666666666,-2395158.333333334
61,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.9020356234096691,1331.0,-7061714.0
62,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0,4053.5,-3506129.0
63,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.8160353535353521,3952.6666666666665,-3637817.333333334
64,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.6663865546218486,1683.0,-6602002.0
65,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.657288258814976,2520.833333333333,-5507791.666666667
66,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,1.0,2135.8333333333335,-6010601.666666666
67,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.7544871794871807,2258.666666666667,-5850181.333333333
68,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.7008403361344538,2500.6666666666665,-5534129.333333334
69,date ('2023-11-01 23:55:00'),10,30,6,18,false,false,0.6266849816849809,3138.666666666667,-4700901.333333332
70,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.7597964376590339,4658.5,-3449332.3333333316
71,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.4565826330532217,1697.6666666666667,-7316180.666666664
72,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.766666666666666,3919.6666666666665,-4414248.666666666
73,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.9829516539440203,4231.333333333333,-4007212.0
74,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.9392039258451469,4112.166666666666,-4162843.666666666
75,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.8217948717948717,3367.833333333333,-5134943.0
76,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.7927026535805148,3477.8333333333335,-4991282.999999997
77,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.801163213376952,5666.833333333333,-2132449.0
78,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,0.9419767907162873,3316.5,-5201984.333333332
79,date ('2023-11-01 23:55:00'),10,30,6,20,false,false,1.0,4315.666666666667,-3897072.666666666
80,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.9612868047982561,8657.0,1039375.3333333316
81,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.9548717948717936,5102.166666666667,-3603237.0
82,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.7364406779661012,3452.166666666667,-5758137.0
83,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.7641025641025647,1662.8333333333335,-8095006.333333334
84,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.7051254089422038,5747.5,-2760431.6666666684
85,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,1.0,6530.333333333333,-1738051.3333333367
86,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.7524816849816857,5808.0,-2681418.6666666684
87,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,1.0,4073.666666666667,-4946458.0
88,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.8526923076923072,2641.833333333333,-6816432.333333336
89,date ('2023-11-01 23:55:00'),10,30,6,22,false,false,0.8723555070883314,4412.833333333334,-4503506.333333334
90,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,1.0,6444.166666666666,-2583918.3333333367
91,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,0.44912280701754376,0.0,-11000000.0
92,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,0.6876750700280113,2097.333333333333,-8260882.666666667
93,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,0.7435114503816784,3215.6666666666665,-6800339.333333334
94,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,0.8606959706959696,4114.0,-5627116.0
95,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,0.5176923076923082,2601.4999999999995,-7602441.000000001
96,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,0.8454925481643032,5303.833333333333,-4073193.6666666684
97,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,1.0,5258.0,-4133052.0
98,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,0.8384223918575079,2460.3333333333335,-7786804.666666666
99,date ('2023-11-01 23:55:00'),10,30,6,24,false,false,0.8889377289377276,6130.666666666666,-2993349.3333333367
100,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,0.9290842490842486,4961.0,-5254267.333333334
101,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,0.8005128205128224,1492.3333333333335,-9784346.0
102,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,0.8680116321337689,6306.666666666667,-3496826.6666666684
103,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,0.8342307692307681,3287.166666666667,-7440293.666666668
104,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,1.0,3710.6666666666665,-6887202.666666668
105,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,0.7731135531135538,6900.666666666666,-2721062.6666666684
106,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,0.7832051282051284,5021.499999999999,-5175254.333333334
107,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,0.7069230769230781,6304.833333333333,-3499221.000000005
108,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,1.0,2823.333333333333,-8046060.0
109,date ('2023-11-01 23:55:00'),10,30,6,26,false,false,0.7232092837134846,4884.0,-5354829.333333334
110,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,1.0,6829.166666666667,-3547774.999999995
111,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,0.8320512820512811,5203.0,-5671548.666666663
112,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,0.9765536723163838,4114.0,-7093782.666666666
113,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,1.0,4658.5,-6382665.666666666
114,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,0.9953846153846152,1996.5,-9859237.666666666
115,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,0.8162940748818611,7758.666666666667,-2333847.999999995
116,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,0.8326556776556758,6557.833333333333,-3902136.3333333316
117,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,1.0,6097.666666666667,-4503113.999999994
118,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,0.6520356234096695,2823.333333333333,-8779393.333333332
119,date ('2023-11-01 23:55:00'),10,30,6,28,false,false,0.7687728937728926,4797.833333333333,-6200696.333333332
120,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,0.8680025445292608,3664.8333333333335,-8413727.666666666
121,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,0.8353846153846144,3432.0,-8717808.0
122,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,1.0,5364.333333333334,-6194180.666666663
123,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,0.9495365321701209,5367.999999999999,-6189392.000000003
124,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,1.0,2944.3333333333335,-9354700.666666666
125,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,0.7676923076923071,3509.0,-8617246.0
126,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,0.8641456582633055,1028.5,-11856779.0
127,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,0.7735897435897432,3862.8333333333335,-8155139.666666666
128,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,1.0,4328.5,-7546979.0
129,date ('2023-11-01 23:55:00'),10,30,6,30,false,false,1.0,6222.333333333333,-5073632.666666668
130,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,0.8519083969465643,5021.499999999999,1424745.6666666658
131,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,0.7719230769230762,3391.6666666666665,-703816.6666666684
132,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,0.9382951653944017,2374.1666666666665,-2032671.666666667
133,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,0.4412820512820523,3945.333333333333,19272.0
134,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,0.9636495819701923,5324.0,1819810.6666666658
135,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,1.0,6578.0,3457534.666666666
136,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,1.0,2077.1666666666665,-2420553.666666667
137,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,0.5662820512820516,2077.1666666666665,-2420553.666666667
138,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,1.0,6671.5,3579645.666666666
139,date ('2023-11-01 23:55:00'),10,30,8,6,false,false,1.0,4719.0,1029680.6666666658
140,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,0.9113919413919418,5828.166666666667,1744919.0
141,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,1.0,5006.833333333334,672257.6666666658
142,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,1.0,3670.3333333333335,-1073211.3333333342
143,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,0.8795512820512819,5958.333333333334,1914916.6666666684
144,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,0.8117411850236278,3569.5,-1204899.6666666684
145,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,1.0,7098.666666666667,3404192.0
146,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,1.0,6605.5,2760116.3333333316
147,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,0.893697478991597,4852.833333333334,471133.6666666684
148,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,0.7938931297709921,5323.999999999999,1086477.3333333316
149,date ('2023-11-01 23:55:00'),10,30,8,8,false,false,0.8417948717948704,3234.0,-1643062.6666666684
150,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,0.9332417582417589,5989.499999999999,1222286.9999999974
151,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,0.6532170119956383,2581.333333333333,-3228778.6666666684
152,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,0.7497985347985355,4396.333333333333,-858388.6666666684
153,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,1.0,4557.666666666667,-647687.3333333316
154,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,0.9566521264994544,6150.833333333334,1432988.3333333342
155,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,0.8354961832061081,4909.666666666666,-187975.33333333675
156,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,0.9291025641025633,3307.333333333333,-2280622.6666666684
157,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,1.0,5324.0,353144.0
158,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,1.0,5118.666666666666,84978.66666666581
159,date ('2023-11-01 23:55:00'),10,30,8,10,false,false,0.9011450381679372,5357.0,396242.0
160,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,1.0,4356.0,-1644397.3333333316
161,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.8794871794871776,5087.5,-689058.3333333316
162,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.8326923076923082,4799.666666666667,-1064968.6666666658
163,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.8892857142857141,6554.166666666666,1226408.3333333316
164,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.9153663003663002,3912.3333333333335,-2223825.999999997
165,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.7566384180790952,3276.1666666666665,-3054659.666666666
166,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.7910256410256417,4598.0,-1328345.3333333316
167,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.8803296703296708,7485.5,2442729.6666666684
168,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.8769174845510711,6453.333333333333,1094720.0
169,date ('2023-11-01 23:55:00'),10,30,8,12,false,false,0.9519230769230769,4330.333333333334,-1677917.9999999974
170,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,0.6160989010989012,5105.833333333333,-1398448.3333333342
171,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,0.8202564102564102,3085.5,-4037003.6666666684
172,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,1.0,6495.5,416456.3333333316
173,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,1.0,4145.166666666667,-2653079.0
174,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,1.0,5111.333333333333,-1391265.3333333342
175,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,0.7686659396583044,4517.333333333333,-2167029.333333334
176,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,0.9474358974358966,4651.166666666667,-1992243.0
177,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,0.9280806979280257,6647.666666666667,615186.0
178,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,0.8204365079365084,5553.166666666667,-814231.0
179,date ('2023-11-01 23:55:00'),10,30,8,14,false,false,0.8356918238993709,2863.6666666666665,-4326718.000000003
180,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,1.0,2157.833333333333,-5981869.666666667
181,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,0.9936440677966102,3993.0,-3585142.0
182,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,0.925954198473281,8112.500000000001,1794925.0000000051
183,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,1.0,4957.333333333333,-2325722.6666666684
184,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,0.965103598691386,4724.5,-2629803.0
185,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,1.0,3549.3333333333335,-4164570.666666666
186,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,1.0,4577.833333333333,-2821349.6666666684
187,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,1.0,3246.8333333333335,-4559635.666666666
188,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,0.8180661577608129,6185.666666666666,-721519.3333333342
189,date ('2023-11-01 23:55:00'),10,30,8,16,false,false,1.0,4365.166666666666,-3099092.3333333367
190,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.7980769230769229,5419.333333333334,-2455683.999999997
191,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.8638095238095227,6451.5,-1107674.3333333316
192,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.7401465201465193,4491.666666666667,-3667216.666666666
193,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.8461538461538449,3285.333333333333,-5242688.0
194,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.7463985594237705,4717.166666666667,-3372713.666666666
195,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.7153021978021973,5727.333333333333,-2053436.0
196,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.7779898218829516,2898.5,-5747892.333333332
197,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.7383753501400574,3710.6666666666665,-4687202.666666666
198,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.803434065934066,5102.166666666666,-2869903.666666666
199,date ('2023-11-01 23:55:00'),10,30,8,18,false,false,0.8467948717948723,4598.0,-3528345.3333333316
200,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,1.0,5989.5,-2444379.6666666684
201,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,0.8097802197802192,4073.6666666666665,-4946458.000000003
202,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,0.9837786259541985,5149.833333333334,-3540984.333333334
203,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,1.0,4194.666666666667,-4788432.0
204,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,0.7935114503816789,3569.5,-5604899.666666668
205,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,1.0,4033.333333333333,-4999133.333333334
206,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,0.8797619047619057,6117.833333333334,-2276776.3333333316
207,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,0.8491325212255441,5624.666666666666,-2920852.000000003
208,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,1.0,3367.8333333333335,-5868276.333333334
209,date ('2023-11-01 23:55:00'),10,30,8,20,false,false,0.6834060341693926,3356.8333333333335,-5882642.333333334
210,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,1.0,5498.166666666667,-3819394.3333333316
211,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,0.8996794871794869,8413.166666666668,-12404.333333331626
212,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,1.0,5206.666666666666,-4200093.333333334
213,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,0.7324175824175806,4537.500000000001,-5074024.999999997
214,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,0.9572510822510816,6292.0,-2782648.0
215,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,0.7461832061068703,4275.333333333333,-5416414.666666668
216,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,0.8529487179487165,3408.1666666666665,-6548934.333333334
217,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,1.0,7041.833333333334,-1803365.6666666633
218,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,1.0,5646.666666666667,-3625453.3333333316
219,date ('2023-11-01 23:55:00'),10,30,8,22,false,false,0.8577044025157227,3080.0,-6977520.0
