air_temp,ghi,wind_speed_100m,time,day,season
25.888888888888886,182.8888888888889,4.111111111111112,07:35,13,Summer
25.888888888888886,179.7777777777778,4.133333333333334,07:40,13,Summer
25.888888888888886,176.33333333333334,4.144444444444445,07:45,13,Summer
25.888888888888886,184.7777777777778,4.155555555555556,07:50,13,Summer
25.888888888888886,191.33333333333334,4.166666666666667,07:55,13,Summer
25.888888888888886,207.33333333333334,4.177777777777778,08:00,13,Summer
25.888888888888886,219.44444444444446,4.2,08:05,13,Summer
26.222222222222225,235.44444444444446,4.2444444444444445,08:10,13,Summer
26.333333333333332,248.55555555555557,4.2444444444444445,08:15,13,Summer
26.666666666666668,252.2222222222222,4.2555555555555555,08:20,13,Summer
26.888888888888886,252.33333333333334,4.288888888888889,08:25,13,Summer
26.888888888888886,271.88888888888886,4.311111111111111,08:30,13,Summer
26.888888888888886,294.6666666666667,4.333333333333333,08:35,13,Summer
27.11111111111111,313.22222222222223,4.366666666666667,08:40,13,Summer
27.222222222222218,335.22222222222223,4.3999999999999995,08:45,13,Summer
27.444444444444443,329.3333333333333,4.4222222222222225,08:50,13,Summer
27.555555555555554,320.11111111111114,4.466666666666667,08:55,13,Summer
27.777777777777782,340.55555555555554,4.5,09:00,13,Summer
27.777777777777782,366.3333333333333,4.511111111111111,09:05,13,Summer
27.777777777777782,389.1111111111111,4.511111111111111,09:10,13,Summer
27.777777777777782,409.0,4.522222222222222,09:15,13,Summer
28.0,431.11111111111114,4.511111111111111,09:20,13,Summer
28.11111111111111,451.0,4.533333333333334,09:25,13,Summer
28.222222222222218,461.6666666666667,4.533333333333334,09:30,13,Summer
28.333333333333332,463.6666666666667,4.544444444444444,09:35,13,Summer
28.333333333333332,465.3333333333333,4.555555555555555,09:40,13,Summer
28.444444444444443,464.77777777777777,4.566666666666666,09:45,13,Summer
28.444444444444443,466.11111111111114,4.566666666666666,09:50,13,Summer
28.555555555555557,463.6666666666667,4.577777777777778,09:55,13,Summer
28.555555555555557,477.3333333333333,4.6000000000000005,10:00,13,Summer
28.666666666666668,487.5555555555556,4.622222222222223,10:05,13,Summer
28.666666666666668,494.77777777777777,4.611111111111111,10:10,13,Summer
28.666666666666668,498.22222222222223,4.633333333333333,10:15,13,Summer
28.666666666666668,490.1111111111111,4.644444444444445,10:20,13,Summer
28.666666666666668,478.88888888888886,4.666666666666667,10:25,13,Summer
28.666666666666668,486.3333333333333,4.666666666666667,10:30,13,Summer
28.666666666666668,490.7777777777778,4.7,10:35,13,Summer
28.666666666666668,504.4444444444445,4.7,10:40,13,Summer
28.666666666666668,517.7777777777777,4.722222222222222,10:45,13,Summer
28.555555555555557,519.3333333333334,4.7444444444444445,10:50,13,Summer
28.555555555555557,524.0,4.777777777777778,10:55,13,Summer
28.555555555555557,517.4444444444445,4.766666666666667,11:00,13,Summer
28.555555555555557,495.3333333333333,4.788888888888889,11:05,13,Summer
28.88888888888889,488.0,4.8,11:10,13,Summer
29.111111111111114,483.3333333333333,4.8,11:15,13,Summer
29.111111111111114,471.6666666666667,4.811111111111111,11:20,13,Summer
29.111111111111114,463.8888888888889,4.811111111111111,11:25,13,Summer
29.222222222222218,484.2222222222222,4.833333333333333,11:30,13,Summer
29.333333333333332,509.88888888888886,4.833333333333333,11:35,13,Summer
29.333333333333332,536.2222222222222,4.855555555555555,11:40,13,Summer
29.444444444444443,555.4444444444445,4.844444444444444,11:45,13,Summer
29.444444444444443,548.1111111111112,4.866666666666666,11:50,13,Summer
29.444444444444443,531.7777777777777,4.877777777777777,11:55,13,Summer
29.88888888888889,536.1111111111111,4.8999999999999995,12:00,13,Summer
29.88888888888889,543.8888888888888,4.8999999999999995,12:05,13,Summer
30.0,571.1111111111112,4.922222222222222,12:10,13,Summer
30.0,601.3333333333334,4.955555555555556,12:15,13,Summer
29.88888888888889,602.6666666666666,4.977777777777778,12:20,13,Summer
29.88888888888889,608.7777777777778,5.0,12:25,13,Summer
29.88888888888889,609.5555555555555,5.022222222222222,12:30,13,Summer
30.0,615.3333333333334,5.0555555555555545,12:35,13,Summer
30.0,617.0,5.066666666666666,12:40,13,Summer
30.0,619.2222222222223,5.1,12:45,13,Summer
30.0,612.5555555555555,5.111111111111111,12:50,13,Summer
30.0,603.0,5.133333333333333,12:55,13,Summer
30.0,585.8888888888889,5.166666666666667,13:00,13,Summer
30.0,571.5555555555555,5.177777777777778,13:05,13,Summer
29.88888888888889,564.2222222222223,5.166666666666667,13:10,13,Summer
29.88888888888889,565.2222222222222,5.177777777777778,13:15,13,Summer
29.88888888888889,555.2222222222223,5.166666666666667,13:20,13,Summer
29.88888888888889,550.1111111111112,5.177777777777778,13:25,13,Summer
29.88888888888889,535.6666666666666,5.177777777777778,13:30,13,Summer
29.88888888888889,527.1111111111111,5.177777777777778,13:35,13,Summer
29.88888888888889,526.6666666666666,5.188888888888889,13:40,13,Summer
29.88888888888889,526.6666666666666,5.177777777777778,13:45,13,Summer
29.88888888888889,525.7777777777777,5.155555555555556,13:50,13,Summer
29.88888888888889,527.4444444444445,5.188888888888889,13:55,13,Summer
30.0,530.2222222222223,5.188888888888889,14:00,13,Summer
30.0,534.7777777777778,5.166666666666667,14:05,13,Summer
30.0,529.0,5.166666666666667,14:10,13,Summer
30.11111111111111,516.6666666666666,5.155555555555555,14:15,13,Summer
30.11111111111111,501.4444444444444,5.133333333333333,14:20,13,Summer
29.88888888888889,477.8888888888889,5.111111111111111,14:25,13,Summer
29.88888888888889,469.22222222222223,5.1000000000000005,14:30,13,Summer
29.88888888888889,450.11111111111114,5.1,14:35,13,Summer
29.88888888888889,431.4444444444444,5.088888888888889,14:40,13,Summer
29.88888888888889,416.4444444444444,5.088888888888889,14:45,13,Summer
29.88888888888889,397.22222222222223,5.077777777777778,14:50,13,Summer
29.88888888888889,386.0,5.0777777777777775,14:55,13,Summer
29.777777777777782,367.6666666666667,5.077777777777778,15:00,13,Summer
29.777777777777782,349.5555555555555,5.0888888888888895,15:05,13,Summer
29.88888888888889,359.0,5.044444444444445,15:10,13,Summer
29.88888888888889,362.8888888888889,5.044444444444445,15:15,13,Summer
29.88888888888889,337.88888888888886,5.022222222222222,15:20,13,Summer
29.777777777777775,311.0,5.0,15:25,13,Summer
29.777777777777775,300.22222222222223,4.999999999999999,15:30,13,Summer
29.88888888888889,290.0,4.999999999999999,15:35,13,Summer
29.88888888888889,275.4444444444444,4.977777777777779,15:40,13,Summer
29.88888888888889,258.88888888888886,5.011111111111112,15:45,13,Summer
29.88888888888889,241.77777777777774,5.011111111111111,15:50,13,Summer
30.0,228.22222222222226,5.022222222222222,15:55,13,Summer
30.111111111111114,223.0,5.022222222222222,16:00,13,Summer
29.88888888888889,213.33333333333334,5.022222222222222,16:05,13,Summer
