int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
61,30,18,210,4,false,false,0.862548735091302,33072081.786982127,13790333.333333332,7355867.799080241,0.8056730205888972,0.5334075414478916,78.96690679532551,0.11152291552898796,false,false,1.5074791920681818
62,30,18,210,4,false,false,0.8423304932941137,32801198.956959177,12417166.666666722,8098899.930189821,0.8870557966007927,0.6522341326005491,79.61904085966093,0.1095208842814632,false,false,1.604085510176126
63,30,18,210,4,false,false,0.8489710035511566,37373455.35272532,14312833.333333319,9122089.646685531,0.9991236548115768,0.6373363983384753,69.87847324664239,0.14355045521491772,false,false,1.6298578571045494
64,30,18,210,4,false,false,0.8741180428244673,49536668.68605752,23626166.666666307,9122089.646685539,0.9991236548115775,0.3861011299626408,52.720541555816304,0.23120292574407939,false,false,1.4914220985311872
65,30,18,210,4,false,false,0.6657577327167642,34186597.68605895,11872666.666666754,9122089.646685535,0.9991236548115772,0.7683269397511485,76.39250983624473,0.1197901086640725,false,false,1.5538747811319853
66,30,18,210,4,false,false,0.7845658569839101,40721697.12997293,17079333.3333332,8992852.349100411,0.9849685602989796,0.5265341552617478,64.13288698809534,0.16839058572159957,false,false,1.4794905979672575
67,30,18,210,4,false,false,0.9185829680721898,39487285.62938011,15918833.333333245,9130090.75779099,1.0000000000000002,0.5735401939709385,66.13774429855634,0.1592691781481612,false,false,1.6513923401912893
68,30,18,210,4,false,false,0.6802458131600475,35910517.68605876,13192666.666666692,9122089.646685518,0.9991236548115754,0.6914515372190738,72.72521167284313,0.132636262112237,false,false,1.5043336124913584
69,30,18,210,4,false,false,0.9499840079094677,38333216.962713584,15035166.666666612,9130090.75779099,1.0,0.6072490555114801,68.12890247485053,0.15069919528816927,false,false,1.707932258709117
70,30,21,210,4,false,false,0.9752775283141242,44935688.29604609,20091499.999999747,9130090.757790979,0.9999999999999989,0.45442554103929994,58.11861571573603,0.19900884816532213,false,false,1.628711917518746
71,30,21,210,4,false,false,0.8449019155518925,40097453.0189229,16388166.666666586,9129269.896985441,0.9999100928098827,0.5570647457201122,65.13131890864805,0.16378457151115644,false,false,1.5657512327831613
72,30,21,210,4,false,false,0.811409545675198,45394372.42752976,20476499.999999765,9108555.43884693,0.9976412809559771,0.44482970423886087,57.531360394271594,0.2022818323586516,false,false,1.4585210822727106
73,30,21,210,4,false,false,0.9592394115808895,42305606.796900846,18261833.33333318,9012698.453018427,0.9871422631070356,0.4935264871007019,61.73177027190912,0.1800048657627657,false,false,1.6327707644443572
74,30,21,210,4,false,false,0.8599170296003635,49236277.01939105,23396999.999999695,9122089.646685544,0.9991236548115782,0.3898828758680884,53.0421908011334,0.2291463975856013,false,false,1.478946303054053
75,30,21,210,4,false,false,0.8811434278936507,43611621.96271304,19077666.666666485,9130090.75779098,0.999999999999999,0.47857481301649746,59.88312019747533,0.18948981445436083,false,false,1.5492080553645091
