int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
24,10,24,210,4,false,false,1.0,22544341.713378042,6929999.999999997,6591619.511978872,0.721966482792522,0.9511716467501984,115.84281471613119,0.04004081523063262,false,false,1.8009781326307914
25,10,24,210,4,false,false,0.9573717948717939,26036312.500000045,7764166.666666681,7764166.666666649,0.8503931529970001,0.9999999999999959,100.30606292653752,0.06165015558227128,false,false,1.819021950454062
26,10,24,210,4,false,false,1.0,17646575.83333327,5263499.99999998,5263500.000000005,0.5765002933304356,1.0000000000000044,147.9947171998577,0.01639195904271843,false,false,1.816391959042722
27,10,24,210,4,false,false,1.0,23598166.72000484,7260000.000000007,6895594.625022672,0.7552602496463081,0.9498064221794305,110.66961391479923,0.04622863156159705,false,false,1.8060737693051414
28,10,24,210,4,false,false,1.0,33092647.209971014,11414333.33333342,8881402.900587631,0.9727617321885716,0.77809212690952,78.9178328173489,0.11167504344603019,false,false,1.7341487449736461
29,10,24,210,4,false,false,0.9512820512820515,13451707.499999981,4013166.6666666605,4013166.66666667,0.43955386349715203,1.0000000000000022,194.14635651273295,0.00454851557011636,false,false,1.7558305668521696
30,10,21,180,4,false,false,1.0,21701972.01936031,6755833.3333333265,6290981.138454689,0.8038778791547939,0.9311924714623948,105.16095025668871,0.05387237222627003,false,false,1.7988263493961858
31,10,21,180,4,false,false,0.9218799224524402,18956390.947473735,6911666.666666677,4851693.971436645,0.6199620336208198,0.7019571697279919,120.39211505627564,0.03528753765787499,false,false,1.5187331958927088
32,10,21,180,4,false,false,1.0,27208103.328059584,8790833.333333349,7681133.070469914,0.9815150969776791,0.8737662038642413,83.8794227029555,0.09729730733946611,false,false,1.7963102704308591
33,10,21,180,4,false,false,1.0,26344055.77807253,8086833.333333356,7708159.156371764,0.9849685602989777,0.9531739852482524,86.63054843284947,0.09013884067950062,false,false,1.8526780288781026
34,10,21,180,4,false,false,0.8461172161172149,14946576.2838136,4819833.333333318,4228033.488114687,0.5402690802306178,0.8772157034713579,152.6904862133216,0.01438740087218791,false,false,1.562277179766489
35,10,21,180,4,false,false,1.0,17062212.994726144,6049999.999999982,4476466.403803258,0.5720144822562591,0.7399118022815325,133.75756126742868,0.02434356311197117,false,false,1.6162730049371974
36,10,21,180,4,false,false,1.0,17580016.6666666,5243333.333333314,5243333.333333335,0.6700067266036989,1.000000000000004,129.81785189813104,0.02715887382517312,false,false,1.8271588738251765
37,10,21,180,4,false,false,0.8153261304521822,13114511.666666651,3912333.3333333284,3912333.3333333354,0.4999280960042985,1.0000000000000018,174.02096685008115,0.00795530922765335,false,false,1.6232814396798372
38,10,21,180,4,false,false,0.9479395604395601,18581933.12489205,6251666.666666653,5089615.971152802,0.6503643235540992,0.8141214563294289,122.81822266074151,0.03298780615910051,false,false,1.6322245316622037
39,10,21,180,4,false,false,1.0,19263645.537124813,6070166.666666649,5538006.1186553715,0.7076607790473376,0.9123318061539311,118.47186430012711,0.03722088987831022,false,false,1.767086334801455
40,10,27,210,4,false,false,1.0,19785965.833333265,5901499.9999999795,5901500.0000000065,0.6463791167644279,1.0000000000000047,131.99254572654004,0.02556682660614963,false,false,1.8255668266061535
41,10,27,210,4,false,false,0.9550213675213666,33031623.352725584,10990833.333333407,9122089.646685539,0.9991236548115776,0.8299725207386894,79.06362857532721,0.11122368726576756,false,false,1.7302230713780855
42,10,27,210,4,false,false,1.0,23058209.16666664,6876833.333333326,6876833.3333333265,0.7532053640830582,1.0000000000000002,113.26118091492445,0.04301768734306172,false,false,1.843017687343062
43,10,27,210,4,false,false,1.0,18291421.959048428,5534833.333333318,5405805.901601672,0.592086765072815,0.9766881089346299,142.77730872137525,0.01894838920632153,false,false,1.8002988763540255
