int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
0,30,9,90,4,false,false,0.7532221127921614,23272592.7025257,11716833.333333408,3893301.6280423617,0.9949923507255615,0.3322827522830973,55.60188400751611,0.213419241465512,false,false,1.2324675560841514
1,30,9,90,4,false,false,0.7745515847788571,30191661.317353107,16983999.999999907,3912896.03905328,0.9999999999999999,0.2303871902410093,42.859516288235994,0.30405638459964646,false,false,1.262917721571311
2,30,9,90,4,false,false,0.6167770543331831,25345687.532120377,13278833.33333336,3909466.9914366603,0.9991236548115779,0.2944134392908503,51.05405005723852,0.24215722900879838,false,false,1.0944650347746616
3,30,9,90,4,false,false,0.8896481169381932,23805656.716562673,12338333.333333386,3757325.54899749,0.9602415989325823,0.3045245615829373,54.35682852217665,0.22092944023598074,false,false,1.3541972064405237
4,30,9,90,4,false,false,0.852850965828065,24929073.53212047,12959833.33333338,3909466.991436661,0.9991236548115782,0.30166028303630293,51.90726395558641,0.23648548592940632,false,false,1.3306646781865137
5,30,9,90,4,false,false,0.8543032243413936,28024946.532120295,15330333.333333341,3909466.9914366603,0.9991236548115779,0.2550151328370763,46.17314786013614,0.2773188253716165,false,false,1.3356341559826712
6,30,9,90,4,false,false,0.9292541216205331,26663882.189464252,14606166.66666666,3706781.4492261717,0.9473242867252416,0.25378194935195225,48.530067407487294,0.2597443429707791,false,false,1.392024024072874
7,30,9,90,4,false,false,0.7258917926856852,20203859.094869588,9511333.33333337,3801378.442265876,0.9714999847493045,0.39966830191342206,64.04717009378611,0.16879200559504728,false,false,1.2144184398114701
8,30,9,90,4,false,false,0.8210149572649557,24603444.198787186,12710500.000000054,3909466.9914366603,0.9991236548115779,0.3075777500048498,52.59426239452227,0.23201535290721656,false,false,1.2990925101760522
9,30,9,90,4,false,false,0.8709542594157975,37132833.6506863,22298833.33333311,3912896.039053282,1.0000000000000002,0.1754753704178838,34.84786569678029,0.967996269355008,false,false,1.9793308251051127
10,30,6,90,4,false,false,0.839655276869018,25804747.50618185,13680333.333333345,3877061.4150879392,0.9908419176978668,0.28340401659959086,50.14581133529813,0.24834429637756364,false,false,1.3147227865262545
11,30,6,90,4,false,false,0.6781704724452812,26124788.984020144,13869166.666666687,3912896.0390532804,1.0,0.28212913818806284,49.53150055265542,0.25261845404226857,false,false,1.156492237038
12,30,6,90,4,false,false,0.687011974953152,28973914.770100348,16129666.666666612,3862585.0512936153,0.9871422631070367,0.23947085399328122,44.66086168429488,0.28921657090222025,false,false,1.1678052290499972
13,30,6,90,4,false,false,0.560459684505486,22225219.17284866,10939500.000000047,3877061.4150879392,0.9908419176978668,0.3544093802356527,58.22214799936863,0.19843734145321876,false,false,1.042424530147227
14,30,6,90,4,false,false,0.7176863001290479,28792076.31735312,15911499.999999933,3912896.03905328,0.9999999999999999,0.24591622656904102,44.94292060555911,0.28695942163057336,false,false,1.2013787030148542
15,30,6,90,4,false,false,0.6146954514826086,24209479.198787186,12408000.000000056,3909466.991436661,0.9991236548115782,0.31507632103776945,53.45013783133447,0.2265643992956132,false,false,1.0933209076084374
16,30,6,90,4,false,false,0.8135732588022655,27132803.317353338,14640999.999999987,3912896.03905328,0.9999999999999999,0.26725606441180816,47.69134928171598,0.26586683861139737,false,false,1.2932449489431095
17,30,6,90,4,false,false,0.7983415651354585,21226474.47631856,10657166.666666705,3569585.8840011815,0.9122618767210687,0.334946988786998,60.96160723457203,0.1838972725319727,false,false,1.2501964286970297
18,30,6,90,4,false,false,0.622993115272526,24575812.198787134,12688500.00000003,3909466.9914366617,0.9991236548115783,0.3081110447599521,52.653397150547136,0.23163454988336257,false,false,1.1011165009638502
19,30,6,90,4,false,false,0.6946384722148077,22358659.53212058,10990833.333333392,3909466.9914366603,0.9991236548115779,0.3557025088880103,57.87466811867822,0.20036197566541855,false,false,1.1795624549906345
20,30,9,60,4,false,false,0.8866620656696974,30028414.6560132,18905333.333333228,2608597.3593688537,1.0000000000000002,0.13798208756094588,32.12290795401144,0.8923029987225399,false,false,1.889350734440994
21,30,9,60,4,false,false,0.7847881241932705,22544792.70380189,13236666.666666696,2569386.38545726,0.9849685602989798,0.1941112857308427,42.78593343807205,0.30467850171540733,false,false,1.244755654493352
22,30,9,60,4,false,false,0.6887940342485809,20549353.576969307,11650833.333333407,2606311.3276244393,0.9991236548115777,0.22370170897284228,46.94064931955211,0.2714691088761774,false,false,1.139224510303032
23,30,9,60,4,false,false,0.8666771294757971,25354675.98934654,15326666.666666633,2608597.3593688523,0.9999999999999997,0.17019991470436222,38.044264513784476,0.34757141462374386,false,false,1.3504084758630308
