int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
55,30,6,90,4,false,false,0.7055720996560689,24793643.910772353,12853500.000000047,3910609.8474567817,0.9994157290217575,0.3042447463692199,52.19079553843969,0.23463027057272537,false,false,1.1835981673241702
56,30,6,90,4,false,false,0.6731832435637991,28004340.650686476,15308333.333333272,3912896.0390532822,1.0000000000000004,0.2556056204063123,46.20712253649435,0.27705723168104457,false,false,1.1547249715698935
57,30,6,90,4,false,false,0.4523066204363917,19362393.38903629,8783500.000000013,3854079.578185891,0.98496856029898,0.4387863127666517,66.83058101343562,0.15623327624109,false,false,0.9595689468908031
58,30,6,90,4,false,false,0.8329212454212475,21398531.865453906,10255666.666666716,3909466.9914366617,0.9991236548115783,0.3812006687135544,60.471438327460774,0.1864183055592038,false,false,1.324300085951295
59,30,6,90,4,false,false,0.6615682027895767,23888481.65068697,12156833.33333338,3912896.03905328,0.9999999999999999,0.32186803353833354,54.168365278367865,0.22208905846721455,false,false,1.1411516880874581
60,30,12,90,4,false,false,0.831575473974973,29267121.22113719,16278166.666666606,3912104.5491154254,0.999797722727628,0.24032832623137984,44.213436307000094,0.29283352411294006,false,false,1.316671659073017
61,30,12,90,4,false,false,0.7502595633961895,28325532.532119986,15561333.33333326,3909466.9914366603,0.9991236548115779,0.25122956418280434,45.68316583395766,0.28111910767658227,false,false,1.2323623224190152
62,30,12,90,4,false,false,0.879125793629609,31414065.650686473,17920833.333333235,3912896.0390532804,1.0,0.21834341998902407,41.191739216083384,0.3184738285752271,false,false,1.3722743581960553
63,30,12,90,4,false,false,0.9295811059169845,34433319.984019645,20232666.666666448,3912896.0390532804,1.0,0.19339497375794867,37.57987904159517,0.3520839882250199,false,false,1.4363810731483635
64,30,12,90,4,false,false,0.8939269902416576,37809884.702524714,22848833.33333299,3893301.6280423617,0.9949923507255615,0.17039389150616385,34.223854692516284,0.9506626303476745,false,false,1.9809047337942634
65,30,12,90,4,false,false,0.7934909873841169,23014143.811593343,11643500.000000061,3814445.816622665,0.9748395506939062,0.32760302457359425,56.22629330004227,0.20974946578381004,false,false,1.2653228728268022
66,30,12,90,4,false,false,0.8336305361305357,22581474.244105764,11161333.333333386,3910609.8474567817,0.9994157290217575,0.3503712084090995,57.30361029629237,0.20356560298198167,false,false,1.317493105839797
67,30,12,90,4,false,false,0.8598212421063103,29874509.317353133,16741999.999999905,3912896.03905328,0.9999999999999999,0.2337173598765561,43.31451895172576,0.30023761074852257,false,false,1.3470327407560776
68,30,12,90,4,false,false,0.606461773395989,24161629.984020285,12367666.66666672,3912896.03905328,0.9999999999999999,0.31638110441634876,53.55598942851991,0.2258992053967328,false,false,1.0854658623258007
69,30,12,90,4,false,false,0.7541348600508898,27579939.722369265,15077333.333333293,3854079.578185891,0.98496856029898,0.25562077145732454,46.91815910498438,0.27163875626538836,false,false,1.2302702334821378
70,30,9,120,4,false,false,0.9043437160803575,33860421.15393779,17753999.999999903,5212622.655248887,0.9991236548115792,0.2936027179930672,47.94388092869917,0.2640083704095565,false,false,1.4032342608843678
71,30,9,120,4,false,false,0.8539916844395447,36723834.64535969,19939333.33333318,5217194.71873771,1.0000000000000007,0.2616534179714008,44.20562328735809,0.29289708417862814,false,false,1.3562115029952935
72,30,9,120,4,false,false,0.771654342265028,25825432.3191289,11627000.000000067,5196455.33713779,0.9960248020788969,0.4469300195353712,62.86051594178144,0.17444854657973347,false,false,1.3036469044730583
73,30,9,120,4,false,false,0.7549310945464778,26102571.978693843,11806666.666666746,5217194.718737711,1.0000000000000009,0.4418854928349246,62.193105006092736,0.17771284704638607,false,false,1.2861523358608036
74,30,9,120,4,false,false,0.691590732499823,34667102.31202635,18364499.999999862,5217194.718737708,1.0000000000000004,0.28409130217200296,46.82825767750502,0.2723179570932169,false,false,1.191181731330642
75,30,9,120,4,false,false,0.7435320233888336,26002009.97869387,11729666.666666754,5217194.718737712,1.0000000000000009,0.4447862728754162,62.43363498938041,0.1765294363030171,false,false,1.2758904779921836
76,30,9,120,4,false,false,0.6226106799183724,23531057.97869372,9837666.66666671,5217194.718737711,1.0000000000000009,0.530328470715043,68.98967319998587,0.1471386688844856,false,false,1.1940121253748923
77,30,9,120,4,false,false,0.5798874445679217,25800885.978693806,11575666.666666735,5217194.71873771,1.0000000000000007,0.45070360688262845,62.92031992004432,0.17415898945871888,false,false,1.1146093195327436
78,30,9,120,4,false,false,0.7955311035118727,31837000.312026735,16197499.99999998,5217194.71873771,1.0000000000000007,0.3220987633114812,50.990984831782185,0.2425818146929736,false,false,1.2957919288540314
79,30,9,120,4,false,false,0.7056183794003736,32442766.645359863,16661333.333333278,5217194.71873771,1.0000000000000007,0.31313188532756847,50.038889030205056,0.24908299128194344,false,false,1.205206878944372
