int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
13,10,12,60,4,false,false,1.0,16355035.59834215,8446166.666666675,2602444.411099123,0.9976412809559774,0.30812136603577006,58.97877716009239,0.19431021210134916,false,false,1.4408073049299652
14,10,12,60,4,false,false,1.0,11314269.370468583,4638333.333333329,2569386.38545726,0.9849685602989797,0.5539460407022484,85.25517365864614,0.09364921163854303,false,false,1.5368060442003417
15,10,12,60,4,false,false,0.9974358974358976,13294383.037135214,6154499.999999986,2569386.3854572605,0.98496856029898,0.4174809302879627,72.5569586272324,0.13325761451664347,false,false,1.4646782561829113
16,10,12,60,4,false,false,1.0,13236919.037135225,6110499.999999989,2569386.38545726,0.9849685602989798,0.42048709360236725,72.87194227704227,0.13209675680609814,false,false,1.468486431687992
17,10,12,60,4,false,false,0.7862637362637357,14233409.015017198,6838333.333333338,2591806.905002691,0.9935634166362014,0.37901148988584293,67.77013145496504,0.15220855114483087,false,false,1.2416814793172408
18,10,12,60,4,false,false,1.0,13880994.703801934,6603666.666666664,2569386.38545726,0.9849685602989798,0.3890848092661543,69.49069721464565,0.1451050748510735,false,false,1.4563729222639967
19,10,12,60,4,false,false,0.7731135531135536,10684207.884222377,4355999.999999996,2441844.095114229,0.9360755067639223,0.5605702697691072,90.28278094667623,0.08144274456474654,false,false,1.303012513493586
20,10,21,90,4,false,false,0.9456550981974706,20028261.865453843,9210666.666666696,3909466.9914366603,0.9991236548115779,0.42444994840438416,64.60870187801879,0.16617959742395402,false,false,1.4513946543449319
21,10,21,90,4,false,false,1.0,16721233.666805439,6796166.6666666595,3834459.085800619,0.9799542455332805,0.5642091010815836,77.38663460991012,0.11652741180804062,false,false,1.5678946926733075
22,10,21,90,4,false,false,0.9303021978021988,17460022.015837356,7899833.33333334,3491559.955671386,0.8923211659147897,0.44197893909213903,74.11216313623541,0.12762344352926436,false,false,1.4115087926051744
23,10,21,90,4,false,false,1.0,16162797.28683268,6352499.999999985,3844704.2232793565,0.9825725459881058,0.6052269536842764,80.06039901608992,0.10818636115691904,false,false,1.59236792410434
24,10,21,90,4,false,false,0.9923664122137404,13732940.497363036,5303833.333333315,3327233.201901627,0.850324968691641,0.6273261229742585,94.22599626412642,0.07299321516381692,false,false,1.567220525756964
